problem_name,bug_path,correct_path,debugged_path,bug_type,ngram_match,weighted_ngram_match,syntax_match,dataflow_match,codebleu_bug,codebleu_debugged,difference
01 Matrix_character,../data/formatted/buggy_codes/01 Matrix_character.java,../data/formatted/correct_codes/01 Matrix.java,../data/formatted/debugged_codes_f_n/01 Matrix_character.java,character,,,,,0.9141018793498641,0.9293011112896631,0.015199231939798996
1-bit and 2-bit Characters_index,../data/formatted/buggy_codes/1-bit and 2-bit Characters_index.java,../data/formatted/correct_codes/1-bit and 2-bit Characters.java,../data/formatted/debugged_codes_f_n/1-bit and 2-bit Characters_index.java,index,,,,,0.8383806044141061,0.9258947743093902,0.08751416989528404
132 Pattern_value,../data/formatted/buggy_codes/132 Pattern_value.java,../data/formatted/correct_codes/132 Pattern.java,../data/formatted/debugged_codes_f_n/132 Pattern_value.java,value,,,,,0.9119474635706692,0.9119474635706692,0.0
2 Keys Keyboard_condition,../data/formatted/buggy_codes/2 Keys Keyboard_condition.java,../data/formatted/correct_codes/2 Keys Keyboard.java,../data/formatted/debugged_codes_f_n/2 Keys Keyboard_condition.java,condition,,,,,0.8759496623793595,0.9020929518789592,0.026143289499599764
24 Game_nobug,../data/formatted/buggy_codes/24 Game_nobug.java,../data/formatted/correct_codes/24 Game.java,../data/formatted/debugged_codes_f_n/24 Game_nobug.java,nobug,,,,,0.9655721602546226,0.9655721602546226,0.0
3Sum With Multiplicity_nobug,../data/formatted/buggy_codes/3Sum With Multiplicity_nobug.java,../data/formatted/correct_codes/3Sum With Multiplicity.java,../data/formatted/debugged_codes_f_n/3Sum With Multiplicity_nobug.java,nobug,,,,,0.9523299524519762,0.9360225593878816,-0.016307393064094566
4Sum_value,../data/formatted/buggy_codes/4Sum_value.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_codes_f_n/4Sum_value.java,value,,,,,0.90174503345841,0.9077783249957917,0.006033291537381746
A Number After a Double Reversal_character,../data/formatted/buggy_codes/A Number After a Double Reversal_character.java,../data/formatted/correct_codes/A Number After a Double Reversal.java,../data/formatted/debugged_codes_f_n/A Number After a Double Reversal_character.java,character,,,,,0.923303685522583,0.8590486224680175,-0.06425506305456552
Accounts Merge_index,../data/formatted/buggy_codes/Accounts Merge_index.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_codes_f_n/Accounts Merge_index.java,index,,,,,0.9039895606652533,0.7697697678335147,-0.13421979283173857
Add Binary_condition,../data/formatted/buggy_codes/Add Binary_condition.java,../data/formatted/correct_codes/Add Binary.java,../data/formatted/debugged_codes_f_n/Add Binary_condition.java,condition,,,,,0.9325758558531592,0.946392329005264,0.01381647315210488
Add Digits_condition,../data/formatted/buggy_codes/Add Digits_condition.java,../data/formatted/correct_codes/Add Digits.java,../data/formatted/debugged_codes_f_n/Add Digits_condition.java,condition,,,,,0.6283261594315445,0.6967850073387376,0.06845884790719314
Add Minimum Number of Rungs_index,../data/formatted/buggy_codes/Add Minimum Number of Rungs_index.java,../data/formatted/correct_codes/Add Minimum Number of Rungs.java,../data/formatted/debugged_codes_f_n/Add Minimum Number of Rungs_index.java,index,,,,,0.8525245409123903,0.9516577996792263,0.09913325876683599
Add One Row to Tree_operation,../data/formatted/buggy_codes/Add One Row to Tree_operation.java,../data/formatted/correct_codes/Add One Row to Tree.java,../data/formatted/debugged_codes_f_n/Add One Row to Tree_operation.java,operation,,,,,0.9076260516661684,0.14964233571820473,-0.7579837159479637
Add Strings_value,../data/formatted/buggy_codes/Add Strings_value.java,../data/formatted/correct_codes/Add Strings.java,../data/formatted/debugged_codes_f_n/Add Strings_value.java,value,,,,,0.5044196557882142,0.6423105697693836,0.13789091398116937
Add to Array-Form of Integer_operation,../data/formatted/buggy_codes/Add to Array-Form of Integer_operation.java,../data/formatted/correct_codes/Add to Array-Form of Integer.java,../data/formatted/debugged_codes_f_n/Add to Array-Form of Integer_operation.java,operation,,,,,0.8755616908957695,0.6567857738922818,-0.21877591700348775
Add Two Integers_value,../data/formatted/buggy_codes/Add Two Integers_value.java,../data/formatted/correct_codes/Add Two Integers.java,../data/formatted/debugged_codes_f_n/Add Two Integers_value.java,value,,,,,0.9387519740379974,0.9192821820820752,-0.019469791955922133
Add Two Numbers II_condition,../data/formatted/buggy_codes/Add Two Numbers II_condition.java,../data/formatted/correct_codes/Add Two Numbers II.java,../data/formatted/debugged_codes_f_n/Add Two Numbers II_condition.java,condition,,,,,0.8874728429387788,0.5740494061722425,-0.3134234367665363
Add Two Numbers_character,../data/formatted/buggy_codes/Add Two Numbers_character.java,../data/formatted/correct_codes/Add Two Numbers.java,../data/formatted/debugged_codes_f_n/Add Two Numbers_character.java,character,,,,,0.905587830158117,0.9196122890132477,0.014024458855130706
Adding Spaces to a String_index,../data/formatted/buggy_codes/Adding Spaces to a String_index.java,../data/formatted/correct_codes/Adding Spaces to a String.java,../data/formatted/debugged_codes_f_n/Adding Spaces to a String_index.java,index,,,,,0.7952767831288565,0.8771982435320537,0.08192146040319714
Adding Two Negabinary Numbers_condition,../data/formatted/buggy_codes/Adding Two Negabinary Numbers_condition.java,../data/formatted/correct_codes/Adding Two Negabinary Numbers.java,../data/formatted/debugged_codes_f_n/Adding Two Negabinary Numbers_condition.java,condition,,,,,0.9289281494632957,0.9389424154605766,0.010014265997280836
Additive Number_nobug,../data/formatted/buggy_codes/Additive Number_nobug.java,../data/formatted/correct_codes/Additive Number.java,../data/formatted/debugged_codes_f_n/Additive Number_nobug.java,nobug,,,,,0.9354041949632029,0.912234852400689,-0.023169342562513906
Advantage Shuffle_condition,../data/formatted/buggy_codes/Advantage Shuffle_condition.java,../data/formatted/correct_codes/Advantage Shuffle.java,../data/formatted/debugged_codes_f_n/Advantage Shuffle_condition.java,condition,,,,,0.9058309067146434,0.9058309067146434,0.0
Airplane Seat Assignment Probability_value,../data/formatted/buggy_codes/Airplane Seat Assignment Probability_value.java,../data/formatted/correct_codes/Airplane Seat Assignment Probability.java,../data/formatted/debugged_codes_f_n/Airplane Seat Assignment Probability_value.java,value,,,,,0.3941405006434411,0.0,-0.3941405006434411
