problem_name,bug_path,correct_path,debugged_path,bug_type,codebleu_bug,codebleu_debugged,codebleu_diff,coderouge_bug,coderouge_debugged,coderouge_diff,codef1_bug,codef1_debugged,codef1_diff,truncated,pad_bug,pad_correct,pad_debugged
01 Matrix_character,../data/formatted/buggy_codes/01 Matrix_character.java,../data/formatted/correct_codes/01 Matrix.java,../data/formatted/debugged_desc_codes_0_c/01 Matrix_character.java,character,0.9076650973089361,0.3796201991118364,-0.5280448981970997,0.9041182581999352,0.34309109139906335,-0.5610271668008718,0.9058716515695205,0.35180898730914867,-0.5540626642603719,False,True,True,False
1-bit and 2-bit Characters_index,../data/formatted/buggy_codes/1-bit and 2-bit Characters_index.java,../data/formatted/correct_codes/1-bit and 2-bit Characters.java,../data/formatted/debugged_desc_codes_0_c/1-bit and 2-bit Characters_index.java,index,0.8500090868507401,0.465794336992742,-0.3842147498579981,0.8319819288897724,0.41679393567898243,-0.41518799321079,0.8405733364796268,0.42841300224994683,-0.41216033422968,False,True,True,False
132 Pattern_value,../data/formatted/buggy_codes/132 Pattern_value.java,../data/formatted/correct_codes/132 Pattern.java,../data/formatted/debugged_desc_codes_0_c/132 Pattern_value.java,value,0.9119474635706692,0.8631481800272871,-0.048799283543382144,0.9119474635706692,0.8491005437004993,-0.06284691987016999,0.9119474635706692,0.8558628452819601,-0.05608461828870914,False,False,False,False
2 Keys Keyboard_condition,../data/formatted/buggy_codes/2 Keys Keyboard_condition.java,../data/formatted/correct_codes/2 Keys Keyboard.java,../data/formatted/debugged_desc_codes_0_c/2 Keys Keyboard_condition.java,condition,0.8818538403957583,0.9020929518789592,0.0202391114832009,0.8759496623793595,0.9020929518789592,0.026143289499599764,0.8788270161697345,0.9020929518789592,0.02326593570922475,False,False,False,False
24 Game_nobug,../data/formatted/buggy_codes/24 Game_nobug.java,../data/formatted/correct_codes/24 Game.java,../data/formatted/debugged_desc_codes_0_c/24 Game_nobug.java,nobug,0.9655721602546226,0.0,-0.9655721602546226,0.9655721602546226,0.0,-0.9655721602546226,0.9655721602546226,0.0,-0.9655721602546226,False,False,False,True
3Sum With Multiplicity_nobug,../data/formatted/buggy_codes/3Sum With Multiplicity_nobug.java,../data/formatted/correct_codes/3Sum With Multiplicity.java,../data/formatted/debugged_desc_codes_0_c/3Sum With Multiplicity_nobug.java,nobug,0.9523299524519762,0.0,-0.9523299524519762,0.9523299524519762,0.0,-0.9523299524519762,0.9523299524519762,0.0,-0.9523299524519762,False,False,False,True
4Sum_value,../data/formatted/buggy_codes/4Sum_value.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_desc_codes_0_c/4Sum_value.java,value,0.9038157379179249,0.4860290790433809,-0.417786658874544,0.90174503345841,0.42102837958816486,-0.4807166538702451,0.9027720324586765,0.44425357445349645,-0.4585184580051801,False,False,False,True
A Number After a Double Reversal_character,../data/formatted/buggy_codes/A Number After a Double Reversal_character.java,../data/formatted/correct_codes/A Number After a Double Reversal.java,../data/formatted/debugged_desc_codes_0_c/A Number After a Double Reversal_character.java,character,0.8471170612774217,0.20297731370171854,-0.6441397475757031,0.8471170612774217,0.22820843903598279,-0.6189086222414389,0.8471170612774217,0.206559543095522,-0.6405575181818997,False,True,True,False
Accounts Merge_index,../data/formatted/buggy_codes/Accounts Merge_index.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_desc_codes_0_c/Accounts Merge_index.java,index,0.9044552666067216,0.9106989630114313,0.0062436964047096755,0.9039895606652533,0.9106989630114313,0.006709402346178006,0.9042213182207696,0.9106989630114313,0.006477644790661707,False,False,False,False
Add Binary_condition,../data/formatted/buggy_codes/Add Binary_condition.java,../data/formatted/correct_codes/Add Binary.java,../data/formatted/debugged_desc_codes_0_c/Add Binary_condition.java,condition,0.9254949300678852,0.8906925453118355,-0.03480238475604969,0.9233777922638442,0.8923504941845025,-0.03102729807934168,0.9244202929886816,0.891491932780682,-0.03292836020799961,False,True,True,False
