problem_name,bug_path,correct_path,debugged_path,bug_type,codebleu_bug,codebleu_debugged,codebleu_diff,coderouge_bug,coderouge_debugged,coderouge_diff,codef1_bug,codef1_debugged,codef1_diff,truncated,pad_bug,pad_correct,pad_debugged
01 Matrix_character,../data/formatted/buggy_codes/01 Matrix_character.java,../data/formatted/correct_codes/01 Matrix.java,../data/formatted/debugged_desc_codes_f_n/01 Matrix_character.java,character,0.917799610781425,0.9293011112896631,0.01150150050823806,0.9141018793498641,0.9293011112896631,0.015199231939798996,0.9159292570026114,0.9293011112896631,0.013371854287051677,False,False,False,False
1-bit and 2-bit Characters_index,../data/formatted/buggy_codes/1-bit and 2-bit Characters_index.java,../data/formatted/correct_codes/1-bit and 2-bit Characters.java,../data/formatted/debugged_desc_codes_f_n/1-bit and 2-bit Characters_index.java,index,0.8627168395764566,0.9258947743093902,0.06317793473293354,0.8432372186601745,0.9258947743093902,0.08265755564921562,0.8525124169317546,0.9258947743093902,0.07338235737763554,False,False,False,False
132 Pattern_value,../data/formatted/buggy_codes/132 Pattern_value.java,../data/formatted/correct_codes/132 Pattern.java,../data/formatted/debugged_desc_codes_f_n/132 Pattern_value.java,value,0.9119474635706692,0.900691319367838,-0.011256144202831275,0.9119474635706692,0.8986549319234053,-0.013292531647263961,0.9119474635706692,0.8996528198416065,-0.012294643729062749,False,False,False,False
2 Keys Keyboard_condition,../data/formatted/buggy_codes/2 Keys Keyboard_condition.java,../data/formatted/correct_codes/2 Keys Keyboard.java,../data/formatted/debugged_desc_codes_f_n/2 Keys Keyboard_condition.java,condition,0.8818538403957583,0.6238931428244798,-0.2579606975712785,0.8759496623793595,0.5956391545243122,-0.2803105078550473,0.8788270161697345,0.6067187814632335,-0.2721082347065009,False,False,False,False
24 Game_nobug,../data/formatted/buggy_codes/24 Game_nobug.java,../data/formatted/correct_codes/24 Game.java,../data/formatted/debugged_desc_codes_f_n/24 Game_nobug.java,nobug,0.9655721602546226,0.9655721602546226,0.0,0.9655721602546226,0.9655721602546226,0.0,0.9655721602546226,0.9655721602546226,0.0,False,False,False,False
3Sum With Multiplicity_nobug,../data/formatted/buggy_codes/3Sum With Multiplicity_nobug.java,../data/formatted/correct_codes/3Sum With Multiplicity.java,../data/formatted/debugged_desc_codes_f_n/3Sum With Multiplicity_nobug.java,nobug,0.9523299524519762,0.46972936071064203,-0.48260059174133413,0.9523299524519762,0.39455852353391996,-0.5577714289180562,0.9523299524519762,0.4152583593346158,-0.5370715931173604,False,False,False,True
4Sum_value,../data/formatted/buggy_codes/4Sum_value.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_desc_codes_f_n/4Sum_value.java,value,0.9038157379179249,0.9038157379179249,0.0,0.90174503345841,0.90174503345841,0.0,0.9027720324586765,0.9027720324586765,0.0,False,False,False,False
A Number After a Double Reversal_character,../data/formatted/buggy_codes/A Number After a Double Reversal_character.java,../data/formatted/correct_codes/A Number After a Double Reversal.java,../data/formatted/debugged_desc_codes_f_n/A Number After a Double Reversal_character.java,character,0.8691808492752436,0.23867914689523298,-0.6305017023800107,0.8691808492752436,0.2616445493077056,-0.607536299967538,0.8691808492752436,0.2368844556476938,-0.6322963936275499,False,True,True,False
Accounts Merge_index,../data/formatted/buggy_codes/Accounts Merge_index.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_desc_codes_f_n/Accounts Merge_index.java,index,0.9044552666067216,0.9106989630114313,0.0062436964047096755,0.9039895606652533,0.9106989630114313,0.006709402346178006,0.9042213182207696,0.9106989630114313,0.006477644790661707,False,False,False,False
Add Binary_condition,../data/formatted/buggy_codes/Add Binary_condition.java,../data/formatted/correct_codes/Add Binary.java,../data/formatted/debugged_desc_codes_f_n/Add Binary_condition.java,condition,0.9347389758241209,0.946392329005264,0.011653353181143133,0.9325758558531592,0.946392329005264,0.01381647315210488,0.933640395408786,0.946392329005264,0.012751933596478082,False,False,False,False
