QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,51.043062968227545,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,41.5275081331348,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,34.1335054223705,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,38.34819382128868,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,33.251315538651,False,"string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,46.28502994972939,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,27.975663357021734,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,16.818253804010546,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,54.77929748102063,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,27.85883009908488,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,54.300231100223584,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,63.42345010729885,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,59.77705730140678,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,41.767254178871774,False,"string,trie",algorithms
15,3Sum,3sum,Medium,33.54935276267629,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,45.486930379992664,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,58.97297733396651,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,35.80642464985803,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,42.96222545177403,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,40.20621064133289,False,"string,stack",algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,63.37985401802584,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,73.63223051143156,False,"string,dynamic-programming,backtracking",algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,51.27269883090027,False,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort",algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,63.33190208211524,False,"linked-list,recursion",algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,56.97510701808475,False,"linked-list,recursion",algorithms
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,53.6524466881261,False,"array,two-pointers",algorithms
27,Remove Element,remove-element,Easy,55.06413526737053,False,"array,two-pointers",algorithms
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,40.90457130297159,False,"two-pointers,string,string-matching",algorithms
29,Divide Two Integers,divide-two-integers,Medium,17.131051209113014,False,"math,bit-manipulation",algorithms
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,31.61934023523496,False,"hash-table,string,sliding-window",algorithms
31,Next Permutation,next-permutation,Medium,38.80931303116147,False,"array,two-pointers",algorithms
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,33.36324855419439,False,"string,dynamic-programming,stack",algorithms
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,40.10735221390437,False,"array,binary-search",algorithms
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,43.511002482524106,False,"array,binary-search",algorithms
35,Search Insert Position,search-insert-position,Easy,44.7114170560331,False,"array,binary-search",algorithms
36,Valid Sudoku,valid-sudoku,Medium,58.8221325316577,False,"array,hash-table,matrix",algorithms
37,Sudoku Solver,sudoku-solver,Hard,59.53597949457253,False,"array,hash-table,backtracking,matrix",algorithms
38,Count and Say,count-and-say,Medium,53.57504372779188,False,string,algorithms
39,Combination Sum,combination-sum,Medium,70.26111135609338,False,"array,backtracking",algorithms
40,Combination Sum II,combination-sum-ii,Medium,53.85446053835716,False,"array,backtracking",algorithms
41,First Missing Positive,first-missing-positive,Hard,37.28710055275984,False,"array,hash-table",algorithms
42,Trapping Rain Water,trapping-rain-water,Hard,60.142136473594576,False,"array,two-pointers,dynamic-programming,stack,monotonic-stack",algorithms
43,Multiply Strings,multiply-strings,Medium,39.61061954700227,False,"math,string,simulation",algorithms
44,Wildcard Matching,wildcard-matching,Hard,27.338454110150817,False,"string,dynamic-programming,greedy,recursion",algorithms
45,Jump Game II,jump-game-ii,Medium,40.190637713206165,False,"array,dynamic-programming,greedy",algorithms
46,Permutations,permutations,Medium,77.44871284842446,False,"array,backtracking",algorithms
47,Permutations II,permutations-ii,Medium,58.24338278956167,False,"array,backtracking",algorithms
48,Rotate Image,rotate-image,Medium,72.96952689791523,False,"array,math,matrix",algorithms
49,Group Anagrams,group-anagrams,Medium,67.15316678645252,False,"array,hash-table,string,sorting",algorithms
50,"Pow(x, n)",powx-n,Medium,34.12906729152822,False,"math,recursion",algorithms
51,N-Queens,n-queens,Hard,66.5470772981226,False,"array,backtracking",algorithms
52,N-Queens II,n-queens-ii,Hard,72.83297154241875,False,backtracking,algorithms
53,Maximum Subarray,maximum-subarray,Medium,50.420398238380535,False,"array,divide-and-conquer,dynamic-programming",algorithms
54,Spiral Matrix,spiral-matrix,Medium,47.961774544960775,False,"array,matrix,simulation",algorithms
55,Jump Game,jump-game,Medium,38.58115051513311,False,"array,dynamic-programming,greedy",algorithms
56,Merge Intervals,merge-intervals,Medium,46.68294227362653,False,"array,sorting",algorithms
57,Insert Interval,insert-interval,Medium,39.53384735156122,False,array,algorithms
58,Length of Last Word,length-of-last-word,Easy,46.975662109890166,False,string,algorithms
59,Spiral Matrix II,spiral-matrix-ii,Medium,70.3082588223126,False,"array,matrix,simulation",algorithms
60,Permutation Sequence,permutation-sequence,Hard,45.7770390295894,False,"math,recursion",algorithms
61,Rotate List,rotate-list,Medium,36.95948571195399,False,"linked-list,two-pointers",algorithms
62,Unique Paths,unique-paths,Medium,63.78687113928423,False,"math,dynamic-programming,combinatorics",algorithms
63,Unique Paths II,unique-paths-ii,Medium,41.07531923925545,False,"array,dynamic-programming,matrix",algorithms
64,Minimum Path Sum,minimum-path-sum,Medium,63.07069950684531,False,"array,dynamic-programming,matrix",algorithms
65,Valid Number,valid-number,Hard,19.065938514649677,False,string,algorithms
66,Plus One,plus-one,Easy,44.40837806863417,False,"array,math",algorithms
67,Add Binary,add-binary,Easy,52.84429646181036,False,"math,string,bit-manipulation,simulation",algorithms
68,Text Justification,text-justification,Hard,41.66567327527386,False,"array,string,simulation",algorithms
69,Sqrt(x),sqrtx,Easy,38.09618876072952,False,"math,binary-search",algorithms
70,Climbing Stairs,climbing-stairs,Easy,52.241233744633654,False,"math,dynamic-programming,memoization",algorithms
71,Simplify Path,simplify-path,Medium,41.189771943021654,False,"string,stack",algorithms
72,Edit Distance,edit-distance,Medium,55.62273250040175,False,"string,dynamic-programming",algorithms
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,53.891199881689985,False,"array,hash-table,matrix",algorithms
74,Search a 2D Matrix,search-a-2d-matrix,Medium,49.39607872872749,False,"array,binary-search,matrix",algorithms
75,Sort Colors,sort-colors,Medium,60.7468150694274,False,"array,two-pointers,sorting",algorithms
76,Minimum Window Substring,minimum-window-substring,Hard,41.39247545686299,False,"hash-table,string,sliding-window",algorithms
77,Combinations,combinations,Medium,69.51979914638922,False,backtracking,algorithms
78,Subsets,subsets,Medium,76.42563948014569,False,"array,backtracking,bit-manipulation",algorithms
79,Word Search,word-search,Medium,40.92001010789215,False,"array,backtracking,matrix",algorithms
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,55.72368612218646,False,"array,two-pointers",algorithms
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,37.304602131166945,False,"array,binary-search",algorithms
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,46.68871441470207,False,"linked-list,two-pointers",algorithms
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,51.64731174857179,False,linked-list,algorithms
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,43.503752636674946,False,"array,stack,monotonic-stack",algorithms
85,Maximal Rectangle,maximal-rectangle,Hard,46.08384986969828,False,"array,dynamic-programming,stack,matrix,monotonic-stack",algorithms
86,Partition List,partition-list,Medium,55.28269991690058,False,"linked-list,two-pointers",algorithms
87,Scramble String,scramble-string,Hard,39.38827143594709,False,"string,dynamic-programming",algorithms
88,Merge Sorted Array,merge-sorted-array,Easy,48.27301911960195,False,"array,two-pointers,sorting",algorithms
89,Gray Code,gray-code,Medium,58.1730527269372,False,"math,backtracking,bit-manipulation",algorithms
90,Subsets II,subsets-ii,Medium,56.657501524415835,False,"array,backtracking,bit-manipulation",algorithms
91,Decode Ways,decode-ways,Medium,33.487232201450716,False,"string,dynamic-programming",algorithms
92,Reverse Linked List II,reverse-linked-list-ii,Medium,47.24400360553142,False,linked-list,algorithms
93,Restore IP Addresses,restore-ip-addresses,Medium,48.74184327209794,False,"string,backtracking",algorithms
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,74.94068165298101,False,"stack,tree,depth-first-search,binary-tree",algorithms
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,56.659875630833966,False,"dynamic-programming,backtracking,tree,binary-search-tree,binary-tree",algorithms
96,Unique Binary Search Trees,unique-binary-search-trees,Medium,60.54253188707634,False,"math,dynamic-programming,tree,binary-search-tree,binary-tree",algorithms
97,Interleaving String,interleaving-string,Medium,39.4195202343893,False,"string,dynamic-programming",algorithms
98,Validate Binary Search Tree,validate-binary-search-tree,Medium,32.44787660369098,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
99,Recover Binary Search Tree,recover-binary-search-tree,Medium,52.23461375513677,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
100,Same Tree,same-tree,Easy,59.98921943010631,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
101,Symmetric Tree,symmetric-tree,Easy,55.51775318780855,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Medium,66.0306554922609,False,"tree,breadth-first-search,binary-tree",algorithms
