problem_name,bug_path,correct_path,debugged_path,bug_type,ngram_match,weighted_ngram_match,syntax_match,dataflow_match,codebleu_bug,codebleu_debugged,difference
4Sum,../data/formatted/buggy_codes_GPT/4Sum.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_GPTBuggyCodes_f_n/4Sum.java,4Sum,,,,,0.8087540931776065,0.8087540931776065,0.0
Accounts Merge,../data/formatted/buggy_codes_GPT/Accounts Merge.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Accounts Merge.java,Accounts Merge,,,,,0.9106989630114313,0.8737654544909694,-0.036933508520461844
Add Digits,../data/formatted/buggy_codes_GPT/Add Digits.java,../data/formatted/correct_codes/Add Digits.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Add Digits.java,Add Digits,,,,,0.6743667199558125,0.6967850073387376,0.022418287382925062
Adding Two Negabinary Numbers,../data/formatted/buggy_codes_GPT/Adding Two Negabinary Numbers.java,../data/formatted/correct_codes/Adding Two Negabinary Numbers.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Adding Two Negabinary Numbers.java,Adding Two Negabinary Numbers,,,,,0.9389424154605766,0.9389424154605766,0.0
All O`one Data Structure,../data/formatted/buggy_codes_GPT/All O`one Data Structure.java,../data/formatted/correct_codes/All O`one Data Structure.java,../data/formatted/debugged_GPTBuggyCodes_f_n/All O`one Data Structure.java,All O`one Data Structure,,,,,0.019941775836972344,0.020448110277520956,0.0005063344405486121
All Paths From Source to Target,../data/formatted/buggy_codes_GPT/All Paths From Source to Target.java,../data/formatted/correct_codes/All Paths From Source to Target.java,../data/formatted/debugged_GPTBuggyCodes_f_n/All Paths From Source to Target.java,All Paths From Source to Target,,,,,0.09062071460586985,0.09090331558840098,0.00028260098253113375
Allocate Mailboxes,../data/formatted/buggy_codes_GPT/Allocate Mailboxes.java,../data/formatted/correct_codes/Allocate Mailboxes.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Allocate Mailboxes.java,Allocate Mailboxes,,,,,0.9360450596148481,0.9360450596148481,0.0
Apply Bitwise Operations to Make Strings Equal,../data/formatted/buggy_codes_GPT/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/correct_codes/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Apply Bitwise Operations to Make Strings Equal.java,Apply Bitwise Operations to Make Strings Equal,,,,,0.8329846633589345,0.8577096621804434,0.024724998821508914
Average of Levels in Binary Tree,../data/formatted/buggy_codes_GPT/Average of Levels in Binary Tree.java,../data/formatted/correct_codes/Average of Levels in Binary Tree.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Average of Levels in Binary Tree.java,Average of Levels in Binary Tree,,,,,0.8949036145250635,0.931910377284328,0.03700676275926451
Avoid Flood in The City,../data/formatted/buggy_codes_GPT/Avoid Flood in The City.java,../data/formatted/correct_codes/Avoid Flood in The City.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Avoid Flood in The City.java,Avoid Flood in The City,,,,,0.9100005465802552,0.9110105155534806,0.0010099689732253614
Best Sightseeing Pair,../data/formatted/buggy_codes_GPT/Best Sightseeing Pair.java,../data/formatted/correct_codes/Best Sightseeing Pair.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Best Sightseeing Pair.java,Best Sightseeing Pair,,,,,0.8485867222173181,0.829011577986243,-0.019575144231075092
Binary Tree Postorder Traversal,../data/formatted/buggy_codes_GPT/Binary Tree Postorder Traversal.java,../data/formatted/correct_codes/Binary Tree Postorder Traversal.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Binary Tree Postorder Traversal.java,Binary Tree Postorder Traversal,,,,,0.7788648616234767,0.8015522756621222,0.022687414038645493
Brick Wall,../data/formatted/buggy_codes_GPT/Brick Wall.java,../data/formatted/correct_codes/Brick Wall.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Brick Wall.java,Brick Wall,,,,,0.41455279178690757,0.8939745165472222,0.4794217247603146
Building Boxes,../data/formatted/buggy_codes_GPT/Building Boxes.java,../data/formatted/correct_codes/Building Boxes.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Building Boxes.java,Building Boxes,,,,,0.9202122728208383,0.9279424582366782,0.007730185415839919
Car Pooling,../data/formatted/buggy_codes_GPT/Car Pooling.java,../data/formatted/correct_codes/Car Pooling.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Car Pooling.java,Car Pooling,,,,,0.8931066154236524,0.9176295656426077,0.02452295021895523
Cheapest Flights Within K Stops,../data/formatted/buggy_codes_GPT/Cheapest Flights Within K Stops.java,../data/formatted/correct_codes/Cheapest Flights Within K Stops.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Cheapest Flights Within K Stops.java,Cheapest Flights Within K Stops,,,,,0.9461284212805574,0.8731952460733722,-0.07293317520718523
Check if Every Row and Column Contains All Numbers,../data/formatted/buggy_codes_GPT/Check if Every Row and Column Contains All Numbers.java,../data/formatted/correct_codes/Check if Every Row and Column Contains All Numbers.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Check if Every Row and Column Contains All Numbers.java,Check if Every Row and Column Contains All Numbers,,,,,0.9132364211064835,0.9132364211064835,0.0
Check If It Is a Good Array,../data/formatted/buggy_codes_GPT/Check If It Is a Good Array.java,../data/formatted/correct_codes/Check If It Is a Good Array.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Check If It Is a Good Array.java,Check If It Is a Good Array,,,,,0.8904791034391897,0.5845186708065778,-0.30596043263261186
Check If N and Its Double Exist,../data/formatted/buggy_codes_GPT/Check If N and Its Double Exist.java,../data/formatted/correct_codes/Check If N and Its Double Exist.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Check If N and Its Double Exist.java,Check If N and Its Double Exist,,,,,0.8458344883115123,0.8381315567173683,-0.007702931594144036
Check if Number is a Sum of Powers of Three,../data/formatted/buggy_codes_GPT/Check if Number is a Sum of Powers of Three.java,../data/formatted/correct_codes/Check if Number is a Sum of Powers of Three.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Check if Number is a Sum of Powers of Three.java,Check if Number is a Sum of Powers of Three,,,,,0.917090538156579,0.9375350119127044,0.020444473756125348
Check If String Is Transformable With Substring Sort Operations,../data/formatted/buggy_codes_GPT/Check If String Is Transformable With Substring Sort Operations.java,../data/formatted/correct_codes/Check If String Is Transformable With Substring Sort Operations.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Check If String Is Transformable With Substring Sort Operations.java,Check If String Is Transformable With Substring Sort Operations,,,,,0.8912872626116313,0.8912872626116313,0.0
Climbing Stairs,../data/formatted/buggy_codes_GPT/Climbing Stairs.java,../data/formatted/correct_codes/Climbing Stairs.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Climbing Stairs.java,Climbing Stairs,,,,,0.8852102224869502,0.9170677736733224,0.031857551186372124
Combinations,../data/formatted/buggy_codes_GPT/Combinations.java,../data/formatted/correct_codes/Combinations.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Combinations.java,Combinations,,,,,0.02910350464155661,0.8120448755193587,0.782941370877802
Concatenation of Consecutive Binary Numbers,../data/formatted/buggy_codes_GPT/Concatenation of Consecutive Binary Numbers.java,../data/formatted/correct_codes/Concatenation of Consecutive Binary Numbers.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Concatenation of Consecutive Binary Numbers.java,Concatenation of Consecutive Binary Numbers,,,,,0.7556798987235283,0.776462424022685,0.020782525299156696
Construct Binary Tree from Inorder and Postorder Traversal,../data/formatted/buggy_codes_GPT/Construct Binary Tree from Inorder and Postorder Traversal.java,../data/formatted/correct_codes/Construct Binary Tree from Inorder and Postorder Traversal.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Construct Binary Tree from Inorder and Postorder Traversal.java,Construct Binary Tree from Inorder and Postorder Traversal,,,,,0.32845818883177724,0.3276988957553977,-0.0007592930763795636
Count All Valid Pickup and Delivery Options,../data/formatted/buggy_codes_GPT/Count All Valid Pickup and Delivery Options.java,../data/formatted/correct_codes/Count All Valid Pickup and Delivery Options.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Count All Valid Pickup and Delivery Options.java,Count All Valid Pickup and Delivery Options,,,,,0.9142870394935685,0.8430047620362446,-0.07128227745732385
Count and Say,../data/formatted/buggy_codes_GPT/Count and Say.java,../data/formatted/correct_codes/Count and Say.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Count and Say.java,Count and Say,,,,,0.7316237180154934,0.05204825105837424,-0.6795754669571192
Count Collisions on a Road,../data/formatted/buggy_codes_GPT/Count Collisions on a Road.java,../data/formatted/correct_codes/Count Collisions on a Road.java,../data/formatted/debugged_GPTBuggyCodes_f_n/Count Collisions on a Road.java,Count Collisions on a Road,,,,,0.7614631116699897,0.9026785315282319,0.14121541985824215
