problem_name,bug_path,correct_path,debugged_path,bug_type,ngram_match,weighted_ngram_match,syntax_match,dataflow_match,codebleu_bug,codebleu_debugged,difference
4Sum,../data/formatted/buggy_codes_GPT/4Sum.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_GPTBuggyCodes_f_c/4Sum.java,4Sum,,,,,0.8087540931776065,0.9077783249957917,0.0990242318181852
Accounts Merge,../data/formatted/buggy_codes_GPT/Accounts Merge.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Accounts Merge.java,Accounts Merge,,,,,0.9106989630114313,0.09842371358791213,-0.8122752494235191
Add Digits,../data/formatted/buggy_codes_GPT/Add Digits.java,../data/formatted/correct_codes/Add Digits.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Add Digits.java,Add Digits,,,,,0.6743667199558125,0.6967850073387376,0.022418287382925062
Adding Two Negabinary Numbers,../data/formatted/buggy_codes_GPT/Adding Two Negabinary Numbers.java,../data/formatted/correct_codes/Adding Two Negabinary Numbers.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Adding Two Negabinary Numbers.java,Adding Two Negabinary Numbers,,,,,0.9389424154605766,0.5513813287117176,-0.3875610867488589
All O`one Data Structure,../data/formatted/buggy_codes_GPT/All O`one Data Structure.java,../data/formatted/correct_codes/All O`one Data Structure.java,../data/formatted/debugged_GPTBuggyCodes_f_c/All O`one Data Structure.java,All O`one Data Structure,,,,,0.019941775836972344,0.019477148572653067,-0.000464627264319277
All Paths From Source to Target,../data/formatted/buggy_codes_GPT/All Paths From Source to Target.java,../data/formatted/correct_codes/All Paths From Source to Target.java,../data/formatted/debugged_GPTBuggyCodes_f_c/All Paths From Source to Target.java,All Paths From Source to Target,,,,,0.09062071460586985,0.060659348193434895,-0.02996136641243495
Allocate Mailboxes,../data/formatted/buggy_codes_GPT/Allocate Mailboxes.java,../data/formatted/correct_codes/Allocate Mailboxes.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Allocate Mailboxes.java,Allocate Mailboxes,,,,,0.9360450596148481,0.9222990874113538,-0.013745972203494272
Apply Bitwise Operations to Make Strings Equal,../data/formatted/buggy_codes_GPT/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/correct_codes/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Apply Bitwise Operations to Make Strings Equal.java,Apply Bitwise Operations to Make Strings Equal,,,,,0.8329846633589345,0.8577096621804434,0.024724998821508914
Average of Levels in Binary Tree,../data/formatted/buggy_codes_GPT/Average of Levels in Binary Tree.java,../data/formatted/correct_codes/Average of Levels in Binary Tree.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Average of Levels in Binary Tree.java,Average of Levels in Binary Tree,,,,,0.8949036145250635,0.931910377284328,0.03700676275926451
Avoid Flood in The City,../data/formatted/buggy_codes_GPT/Avoid Flood in The City.java,../data/formatted/correct_codes/Avoid Flood in The City.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Avoid Flood in The City.java,Avoid Flood in The City,,,,,0.9100005465802552,0.9110105155534806,0.0010099689732253614
Best Sightseeing Pair,../data/formatted/buggy_codes_GPT/Best Sightseeing Pair.java,../data/formatted/correct_codes/Best Sightseeing Pair.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Best Sightseeing Pair.java,Best Sightseeing Pair,,,,,0.8485867222173181,0.829011577986243,-0.019575144231075092
Binary Tree Postorder Traversal,../data/formatted/buggy_codes_GPT/Binary Tree Postorder Traversal.java,../data/formatted/correct_codes/Binary Tree Postorder Traversal.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Binary Tree Postorder Traversal.java,Binary Tree Postorder Traversal,,,,,0.7788648616234767,0.8015522756621222,0.022687414038645493
Brick Wall,../data/formatted/buggy_codes_GPT/Brick Wall.java,../data/formatted/correct_codes/Brick Wall.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Brick Wall.java,Brick Wall,,,,,0.41455279178690757,0.9332479629376389,0.5186951711507313
Building Boxes,../data/formatted/buggy_codes_GPT/Building Boxes.java,../data/formatted/correct_codes/Building Boxes.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Building Boxes.java,Building Boxes,,,,,0.9202122728208383,0.7097532477228636,-0.21045902509797465
Car Pooling,../data/formatted/buggy_codes_GPT/Car Pooling.java,../data/formatted/correct_codes/Car Pooling.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Car Pooling.java,Car Pooling,,,,,0.8931066154236524,0.844298885133445,-0.04880773029020746
Cheapest Flights Within K Stops,../data/formatted/buggy_codes_GPT/Cheapest Flights Within K Stops.java,../data/formatted/correct_codes/Cheapest Flights Within K Stops.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Cheapest Flights Within K Stops.java,Cheapest Flights Within K Stops,,,,,0.9498714107795283,0.9231713931105479,-0.026700017668980447
Check if Every Row and Column Contains All Numbers,../data/formatted/buggy_codes_GPT/Check if Every Row and Column Contains All Numbers.java,../data/formatted/correct_codes/Check if Every Row and Column Contains All Numbers.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Check if Every Row and Column Contains All Numbers.java,Check if Every Row and Column Contains All Numbers,,,,,0.9132364211064835,0.8284995610947388,-0.08473686001174474
Check If It Is a Good Array,../data/formatted/buggy_codes_GPT/Check If It Is a Good Array.java,../data/formatted/correct_codes/Check If It Is a Good Array.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Check If It Is a Good Array.java,Check If It Is a Good Array,,,,,0.9009199533802,0.9130818311378035,0.012161877757603468
Check If N and Its Double Exist,../data/formatted/buggy_codes_GPT/Check If N and Its Double Exist.java,../data/formatted/correct_codes/Check If N and Its Double Exist.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Check If N and Its Double Exist.java,Check If N and Its Double Exist,,,,,0.8458344883115123,0.8458344883115123,0.0
Check if Number is a Sum of Powers of Three,../data/formatted/buggy_codes_GPT/Check if Number is a Sum of Powers of Three.java,../data/formatted/correct_codes/Check if Number is a Sum of Powers of Three.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Check if Number is a Sum of Powers of Three.java,Check if Number is a Sum of Powers of Three,,,,,0.917090538156579,0.7283180627159329,-0.18877247544064613
Check If String Is Transformable With Substring Sort Operations,../data/formatted/buggy_codes_GPT/Check If String Is Transformable With Substring Sort Operations.java,../data/formatted/correct_codes/Check If String Is Transformable With Substring Sort Operations.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Check If String Is Transformable With Substring Sort Operations.java,Check If String Is Transformable With Substring Sort Operations,,,,,0.8847937561181247,0.8847937561181247,0.0
Climbing Stairs,../data/formatted/buggy_codes_GPT/Climbing Stairs.java,../data/formatted/correct_codes/Climbing Stairs.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Climbing Stairs.java,Climbing Stairs,,,,,0.8852102224869502,0.9170677736733224,0.031857551186372124
Combinations,../data/formatted/buggy_codes_GPT/Combinations.java,../data/formatted/correct_codes/Combinations.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Combinations.java,Combinations,,,,,0.02910350464155661,0.8605385080769343,0.8314350034353777
Concatenation of Consecutive Binary Numbers,../data/formatted/buggy_codes_GPT/Concatenation of Consecutive Binary Numbers.java,../data/formatted/correct_codes/Concatenation of Consecutive Binary Numbers.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Concatenation of Consecutive Binary Numbers.java,Concatenation of Consecutive Binary Numbers,,,,,0.7556798987235283,0.9363730430496402,0.18069314432611194
Construct Binary Tree from Inorder and Postorder Traversal,../data/formatted/buggy_codes_GPT/Construct Binary Tree from Inorder and Postorder Traversal.java,../data/formatted/correct_codes/Construct Binary Tree from Inorder and Postorder Traversal.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Construct Binary Tree from Inorder and Postorder Traversal.java,Construct Binary Tree from Inorder and Postorder Traversal,,,,,0.32845818883177724,0.7449566771532945,0.41649848832151726
Count All Valid Pickup and Delivery Options,../data/formatted/buggy_codes_GPT/Count All Valid Pickup and Delivery Options.java,../data/formatted/correct_codes/Count All Valid Pickup and Delivery Options.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count All Valid Pickup and Delivery Options.java,Count All Valid Pickup and Delivery Options,,,,,0.9142870394935685,0.8423126228985123,-0.07197441659505621
Count and Say,../data/formatted/buggy_codes_GPT/Count and Say.java,../data/formatted/correct_codes/Count and Say.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count and Say.java,Count and Say,,,,,0.7316237180154934,0.7110688482980927,-0.020554869717400726
Count Collisions on a Road,../data/formatted/buggy_codes_GPT/Count Collisions on a Road.java,../data/formatted/correct_codes/Count Collisions on a Road.java,../data/formatted/debugged_GPTBuggyCodes_f_c/Count Collisions on a Road.java,Count Collisions on a Road,,,,,0.7614631116699897,0.9026785315282319,0.14121541985824215
