problem_name,bug_path,correct_path,debugged_path,bug_type,ngram_match,weighted_ngram_match,syntax_match,dataflow_match,codebleu_bug,codebleu_debugged,difference
01 Matrix_character,../data/formatted/buggy_codes/01 Matrix_character.java,../data/formatted/correct_codes/01 Matrix.java,../data/formatted/debugged_codes_0_c/01 Matrix_character.java,character,,,,,0.9141018793498641,0.0,-0.9141018793498641
1-bit and 2-bit Characters_index,../data/formatted/buggy_codes/1-bit and 2-bit Characters_index.java,../data/formatted/correct_codes/1-bit and 2-bit Characters.java,../data/formatted/debugged_codes_0_c/1-bit and 2-bit Characters_index.java,index,,,,,0.8383806044141061,0.7287570071365406,-0.10962359727756554
132 Pattern_value,../data/formatted/buggy_codes/132 Pattern_value.java,../data/formatted/correct_codes/132 Pattern.java,../data/formatted/debugged_codes_0_c/132 Pattern_value.java,value,,,,,0.9119474635706692,0.9119474635706692,0.0
2 Keys Keyboard_condition,../data/formatted/buggy_codes/2 Keys Keyboard_condition.java,../data/formatted/correct_codes/2 Keys Keyboard.java,../data/formatted/debugged_codes_0_c/2 Keys Keyboard_condition.java,condition,,,,,0.8759496623793595,0.9020929518789592,0.026143289499599764
24 Game_nobug,../data/formatted/buggy_codes/24 Game_nobug.java,../data/formatted/correct_codes/24 Game.java,../data/formatted/debugged_codes_0_c/24 Game_nobug.java,nobug,,,,,0.9655721602546226,0.022727272727272728,-0.9428448875273499
3Sum With Multiplicity_nobug,../data/formatted/buggy_codes/3Sum With Multiplicity_nobug.java,../data/formatted/correct_codes/3Sum With Multiplicity.java,../data/formatted/debugged_codes_0_c/3Sum With Multiplicity_nobug.java,nobug,,,,,0.9523299524519762,0.0010090330031558002,-0.9513209194488204
4Sum_value,../data/formatted/buggy_codes/4Sum_value.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_codes_0_c/4Sum_value.java,value,,,,,0.90174503345841,0.037806460131145504,-0.8639385733272644
A Number After a Double Reversal_character,../data/formatted/buggy_codes/A Number After a Double Reversal_character.java,../data/formatted/correct_codes/A Number After a Double Reversal.java,../data/formatted/debugged_codes_0_c/A Number After a Double Reversal_character.java,character,,,,,0.8943347763691983,0.29257127911742964,-0.6017634972517687
Accounts Merge_index,../data/formatted/buggy_codes/Accounts Merge_index.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_codes_0_c/Accounts Merge_index.java,index,,,,,0.9039895606652533,0.0702059848098915,-0.8337835758553618
Add Binary_condition,../data/formatted/buggy_codes/Add Binary_condition.java,../data/formatted/correct_codes/Add Binary.java,../data/formatted/debugged_codes_0_c/Add Binary_condition.java,condition,,,,,0.9325758558531592,0.946392329005264,0.01381647315210488
Add Digits_condition,../data/formatted/buggy_codes/Add Digits_condition.java,../data/formatted/correct_codes/Add Digits.java,../data/formatted/debugged_codes_0_c/Add Digits_condition.java,condition,,,,,0.6283261594315445,0.14066901461846634,-0.4876571448130781
Add Minimum Number of Rungs_index,../data/formatted/buggy_codes/Add Minimum Number of Rungs_index.java,../data/formatted/correct_codes/Add Minimum Number of Rungs.java,../data/formatted/debugged_codes_0_c/Add Minimum Number of Rungs_index.java,index,,,,,0.8614531123409618,0.9230516749567865,0.06159856261582475
Add One Row to Tree_operation,../data/formatted/buggy_codes/Add One Row to Tree_operation.java,../data/formatted/correct_codes/Add One Row to Tree.java,../data/formatted/debugged_codes_0_c/Add One Row to Tree_operation.java,operation,,,,,0.927113408866284,0.007462190179672238,-0.9196512186866118
Add Strings_value,../data/formatted/buggy_codes/Add Strings_value.java,../data/formatted/correct_codes/Add Strings.java,../data/formatted/debugged_codes_0_c/Add Strings_value.java,value,,,,,0.5044196557882142,0.6423105697693836,0.13789091398116937
Add to Array-Form of Integer_operation,../data/formatted/buggy_codes/Add to Array-Form of Integer_operation.java,../data/formatted/correct_codes/Add to Array-Form of Integer.java,../data/formatted/debugged_codes_0_c/Add to Array-Form of Integer_operation.java,operation,,,,,0.8884060731924123,0.9002474797713431,0.011841406578930846
Add Two Integers_value,../data/formatted/buggy_codes/Add Two Integers_value.java,../data/formatted/correct_codes/Add Two Integers.java,../data/formatted/debugged_codes_0_c/Add Two Integers_value.java,value,,,,,0.9387519740379974,0.9477986471550175,0.009046673117020121
Add Two Numbers II_condition,../data/formatted/buggy_codes/Add Two Numbers II_condition.java,../data/formatted/correct_codes/Add Two Numbers II.java,../data/formatted/debugged_codes_0_c/Add Two Numbers II_condition.java,condition,,,,,0.8874728429387788,0.09529961028504008,-0.7921732326537387
Add Two Numbers_character,../data/formatted/buggy_codes/Add Two Numbers_character.java,../data/formatted/correct_codes/Add Two Numbers.java,../data/formatted/debugged_codes_0_c/Add Two Numbers_character.java,character,,,,,0.905587830158117,0.9312758527420744,0.025688022583957415
Adding Spaces to a String_index,../data/formatted/buggy_codes/Adding Spaces to a String_index.java,../data/formatted/correct_codes/Adding Spaces to a String.java,../data/formatted/debugged_codes_0_c/Adding Spaces to a String_index.java,index,,,,,0.7952767831288565,0.5766372470550954,-0.21863953607376108
Adding Two Negabinary Numbers_condition,../data/formatted/buggy_codes/Adding Two Negabinary Numbers_condition.java,../data/formatted/correct_codes/Adding Two Negabinary Numbers.java,../data/formatted/debugged_codes_0_c/Adding Two Negabinary Numbers_condition.java,condition,,,,,0.9289281494632957,0.0008543804543119859,-0.9280737690089838
Additive Number_nobug,../data/formatted/buggy_codes/Additive Number_nobug.java,../data/formatted/correct_codes/Additive Number.java,../data/formatted/debugged_codes_0_c/Additive Number_nobug.java,nobug,,,,,0.9354041949632029,0.6600902843041603,-0.27531391065904265
Advantage Shuffle_condition,../data/formatted/buggy_codes/Advantage Shuffle_condition.java,../data/formatted/correct_codes/Advantage Shuffle.java,../data/formatted/debugged_codes_0_c/Advantage Shuffle_condition.java,condition,,,,,0.9058309067146434,0.0019950270520608013,-0.9038358796625826
Airplane Seat Assignment Probability_value,../data/formatted/buggy_codes/Airplane Seat Assignment Probability_value.java,../data/formatted/correct_codes/Airplane Seat Assignment Probability.java,../data/formatted/debugged_codes_0_c/Airplane Seat Assignment Probability_value.java,value,,,,,0.3941405006434411,0.24749249392570594,-0.14664800671773515
Alert Using Same Key-Card Three or More Times in a One Hour Period_character,../data/formatted/buggy_codes/Alert Using Same Key-Card Three or More Times in a One Hour Period_character.java,../data/formatted/correct_codes/Alert Using Same Key-Card Three or More Times in a One Hour Period.java,../data/formatted/debugged_codes_0_c/Alert Using Same Key-Card Three or More Times in a One Hour Period_character.java,character,,,,,0.9228311230874489,0.6446121026786311,-0.27821902040881774
All Divisions With the Highest Score of a Binary Array_index,../data/formatted/buggy_codes/All Divisions With the Highest Score of a Binary Array_index.java,../data/formatted/correct_codes/All Divisions With the Highest Score of a Binary Array.java,../data/formatted/debugged_codes_0_c/All Divisions With the Highest Score of a Binary Array_index.java,index,,,,,0.8940458890501285,0.0,-0.8940458890501285
