problem_name,bug_path,correct_path,debugged_path,bug_type,test_case_total,score_bug,score_debugged,message_bug,message_debugged,difference
Arranging Coins,../../data/formatted/buggy_codes\Arranging Coins_value.java,../../data/formatted/correct_codes\Arranging Coins.java,../../data/formatted/debugged_codes_f_n\Arranging Coins_value.java,value,1,0.0,0.0,Accepted,Accepted,0.0
Car Fleet,../../data/formatted/buggy_codes\Car Fleet_value.java,../../data/formatted/correct_codes\Car Fleet.java,../../data/formatted/debugged_codes_f_n\Car Fleet_value.java,value,1,0.0,0.0,Accepted,Accepted,0.0
Cat and Mouse II,../../data/formatted/buggy_codes\Cat and Mouse II_character.java,../../data/formatted/correct_codes\Cat and Mouse II.java,../../data/formatted/debugged_codes_f_n\Cat and Mouse II_character.java,character,0,0.0,0.0,Compile Error,Compile Error,0.0
Count Equal and Divisible Pairs in an Array,../../data/formatted/buggy_codes\Count Equal and Divisible Pairs in an Array_character.java,../../data/formatted/correct_codes\Count Equal and Divisible Pairs in an Array.java,../../data/formatted/debugged_codes_f_n\Count Equal and Divisible Pairs in an Array_character.java,character,238,0.0,0.1596638655462184,Compile Error,Wrong Answer,0.1596638655462184
Count Number of Ways to Place Houses,../../data/formatted/buggy_codes\Count Number of Ways to Place Houses_character.java,../../data/formatted/correct_codes\Count Number of Ways to Place Houses.java,../../data/formatted/debugged_codes_f_n\Count Number of Ways to Place Houses_character.java,character,1,0.0,0.0,Compile Error,Accepted,0.0
Distribute Coins in Binary Tree,../../data/formatted/buggy_codes\Distribute Coins in Binary Tree_operation.java,../../data/formatted/correct_codes\Distribute Coins in Binary Tree.java,../../data/formatted/debugged_codes_f_n\Distribute Coins in Binary Tree_operation.java,operation,1,0.0,0.0,Accepted,Accepted,0.0
Final Prices With a Special Discount in a Shop,../../data/formatted/buggy_codes\Final Prices With a Special Discount in a Shop_character.java,../../data/formatted/correct_codes\Final Prices With a Special Discount in a Shop.java,../../data/formatted/debugged_codes_f_n\Final Prices With a Special Discount in a Shop_character.java,character,1,0.0,0.0,Compile Error,Accepted,0.0
Flipping an Image,../../data/formatted/buggy_codes\Flipping an Image_character.java,../../data/formatted/correct_codes\Flipping an Image.java,../../data/formatted/debugged_codes_f_n\Flipping an Image_character.java,character,1,0.0,0.0,Compile Error,Accepted,0.0
Gas Station,../../data/formatted/buggy_codes\Gas Station_value.java,../../data/formatted/correct_codes\Gas Station.java,../../data/formatted/debugged_codes_f_n\Gas Station_value.java,value,1,0.0,0.0,Accepted,Accepted,0.0
K Highest Ranked Items Within a Price Range,../../data/formatted/buggy_codes\K Highest Ranked Items Within a Price Range_condition.java,../../data/formatted/correct_codes\K Highest Ranked Items Within a Price Range.java,../../data/formatted/debugged_codes_f_n\K Highest Ranked Items Within a Price Range_condition.java,condition,49,0.0,0.0,Time Limit Exceeded,Compile Error,0.0
Kth Missing Positive Number,../../data/formatted/buggy_codes\Kth Missing Positive Number_index.java,../../data/formatted/correct_codes\Kth Missing Positive Number.java,../../data/formatted/debugged_codes_f_n\Kth Missing Positive Number_index.java,index,86,0.0,0.5,Runtime Error,Wrong Answer,0.5
Kth Smallest Element in a BST,../../data/formatted/buggy_codes\Kth Smallest Element in a BST_nobug.java,../../data/formatted/correct_codes\Kth Smallest Element in a BST.java,../../data/formatted/debugged_codes_f_n\Kth Smallest Element in a BST_nobug.java,nobug,1,0.0,0.0,Accepted,Accepted,0.0
Largest Odd Number in String,../../data/formatted/buggy_codes\Largest Odd Number in String_value.java,../../data/formatted/correct_codes\Largest Odd Number in String.java,../../data/formatted/debugged_codes_f_n\Largest Odd Number in String_value.java,value,1,0.0,0.0,Accepted,Accepted,0.0
Longest Duplicate Substring,../../data/formatted/buggy_codes\Longest Duplicate Substring_operation.java,../../data/formatted/correct_codes\Longest Duplicate Substring.java,../../data/formatted/debugged_codes_f_n\Longest Duplicate Substring_operation.java,operation,67,0.0149253731343283,0.0149253731343283,Time Limit Exceeded,Time Limit Exceeded,0.0
Maximum Consecutive Floors Without Special Floors,../../data/formatted/buggy_codes\Maximum Consecutive Floors Without Special Floors_nobug.java,../../data/formatted/correct_codes\Maximum Consecutive Floors Without Special Floors.java,../../data/formatted/debugged_codes_f_n\Maximum Consecutive Floors Without Special Floors_nobug.java,nobug,80,0.0,0.8,Accepted,Wrong Answer,0.8
Maximum Number of Points with Cost,../../data/formatted/buggy_codes\Maximum Number of Points with Cost_character.java,../../data/formatted/correct_codes\Maximum Number of Points with Cost.java,../../data/formatted/debugged_codes_f_n\Maximum Number of Points with Cost_character.java,character,1,0.0,0.0,Accepted,Accepted,0.0
Maximum Score of a Node Sequence,../../data/formatted/buggy_codes\Maximum Score of a Node Sequence_character.java,../../data/formatted/correct_codes\Maximum Score of a Node Sequence.java,../../data/formatted/debugged_codes_f_n\Maximum Score of a Node Sequence_character.java,character,0,0.0,0.0,Compile Error,Compile Error,0.0
Minimum Changes To Make Alternating Binary String,../../data/formatted/buggy_codes\Minimum Changes To Make Alternating Binary String_condition.java,../../data/formatted/correct_codes\Minimum Changes To Make Alternating Binary String.java,../../data/formatted/debugged_codes_f_n\Minimum Changes To Make Alternating Binary String_condition.java,condition,89,0.2247191011235955,0.0674157303370786,Wrong Answer,Wrong Answer,-0.1573033707865168
Minimum Height Trees,../../data/formatted/buggy_codes\Minimum Height Trees_value.java,../../data/formatted/correct_codes\Minimum Height Trees.java,../../data/formatted/debugged_codes_f_n\Minimum Height Trees_value.java,value,71,0.0,0.0,Runtime Error,Accepted,0.0
Number Of Rectangles That Can Form The Largest Square,../../data/formatted/buggy_codes\Number Of Rectangles That Can Form The Largest Square_nobug.java,../../data/formatted/correct_codes\Number Of Rectangles That Can Form The Largest Square.java,../../data/formatted/debugged_codes_f_n\Number Of Rectangles That Can Form The Largest Square_nobug.java,nobug,1,0.0,0.0,Accepted,Accepted,0.0
Number of Times Binary String Is Prefix-Aligned,../../data/formatted/buggy_codes\Number of Times Binary String Is Prefix-Aligned_index.java,../../data/formatted/correct_codes\Number of Times Binary String Is Prefix-Aligned.java,../../data/formatted/debugged_codes_f_n\Number of Times Binary String Is Prefix-Aligned_index.java,index,63,0.0,0.0,Runtime Error,Accepted,0.0
Pascal's Triangle II,../../data/formatted/buggy_codes\Pascal's Triangle II_condition.java,../../data/formatted/correct_codes\Pascal's Triangle II.java,../../data/formatted/debugged_codes_f_n\Pascal's Triangle II_condition.java,condition,34,0.0,0.0,Runtime Error,Compile Error,0.0
Percentage of Letter in String,../../data/formatted/buggy_codes\Percentage of Letter in String_operation.java,../../data/formatted/correct_codes\Percentage of Letter in String.java,../../data/formatted/debugged_codes_f_n\Percentage of Letter in String_operation.java,operation,86,0.2325581395348837,0.0,Wrong Answer,Accepted,-0.2325581395348837
Queries on a Permutation With Key,../../data/formatted/buggy_codes\Queries on a Permutation With Key_condition.java,../../data/formatted/correct_codes\Queries on a Permutation With Key.java,../../data/formatted/debugged_codes_f_n\Queries on a Permutation With Key_condition.java,condition,1,0.0,0.0,Accepted,Accepted,0.0
Rabbits in Forest,../../data/formatted/buggy_codes\Rabbits in Forest_nobug.java,../../data/formatted/correct_codes\Rabbits in Forest.java,../../data/formatted/debugged_codes_f_n\Rabbits in Forest_nobug.java,nobug,1,0.0,0.0,Accepted,Accepted,0.0
Random Flip Matrix,../../data/formatted/buggy_codes\Random Flip Matrix_condition.java,../../data/formatted/correct_codes\Random Flip Matrix.java,../../data/formatted/debugged_codes_f_n\Random Flip Matrix_condition.java,condition,1,0.0,0.0,Accepted,Accepted,0.0
Recover a Tree From Preorder Traversal,../../data/formatted/buggy_codes\Recover a Tree From Preorder Traversal_operation.java,../../data/formatted/correct_codes\Recover a Tree From Preorder Traversal.java,../../data/formatted/debugged_codes_f_n\Recover a Tree From Preorder Traversal_operation.java,operation,1,0.0,0.0,Accepted,Accepted,0.0
Reverse Vowels of a String,../../data/formatted/buggy_codes\Reverse Vowels of a String_character.java,../../data/formatted/correct_codes\Reverse Vowels of a String.java,../../data/formatted/debugged_codes_f_n\Reverse Vowels of a String_character.java,character,1,0.0,0.0,Compile Error,Accepted,0.0
Rings and Rods,../../data/formatted/buggy_codes\Rings and Rods_value.java,../../data/formatted/correct_codes\Rings and Rods.java,../../data/formatted/debugged_codes_f_n\Rings and Rods_value.java,value,66,0.0,0.0,Runtime Error,Accepted,0.0
Second Minimum Time to Reach Destination,../../data/formatted/buggy_codes\Second Minimum Time to Reach Destination_character.java,../../data/formatted/correct_codes\Second Minimum Time to Reach Destination.java,../../data/formatted/debugged_codes_f_n\Second Minimum Time to Reach Destination_character.java,character,1,0.0,0.0,Compile Error,Accepted,0.0
Sequential Digits,../../data/formatted/buggy_codes\Sequential Digits_condition.java,../../data/formatted/correct_codes\Sequential Digits.java,../../data/formatted/debugged_codes_f_n\Sequential Digits_condition.java,condition,23,0.8695652173913043,0.0,Wrong Answer,Accepted,-0.8695652173913043
