problem_name,bug_path,correct_path,debugged_path,bug_type,test_case_total,score_bug,score_debugged,message_bug,message_debugged,difference
Valid Parenthesis String,../../data/formatted/buggy_codes\Valid Parenthesis String_nobug.java,../../data/formatted/correct_codes\Valid Parenthesis String.java,../../data/formatted/debugged_codes_0_n\Valid Parenthesis String_nobug.java,nobug,1,1,1,Accepted,Accepted,0
Gas Station,../../data/formatted/buggy_codes\Gas Station_value.java,../../data/formatted/correct_codes\Gas Station.java,../../data/formatted/debugged_codes_0_n\Gas Station_value.java,value,1,1,1,Accepted,Accepted,0
Minimum Deletions to Make String Balanced,../../data/formatted/buggy_codes\Minimum Deletions to Make String Balanced_operation.java,../../data/formatted/correct_codes\Minimum Deletions to Make String Balanced.java,../../data/formatted/debugged_codes_0_n\Minimum Deletions to Make String Balanced_operation.java,operation,1,1,6,Accepted,Wrong Answer,-1
Unique Binary Search Trees II,../../data/formatted/buggy_codes\Unique Binary Search Trees II_value.java,../../data/formatted/correct_codes\Unique Binary Search Trees II.java,../../data/formatted/debugged_codes_0_n\Unique Binary Search Trees II_value.java,value,8,0,1,Wrong Answer,Accepted,1
Count Array Pairs Divisible by K,../../data/formatted/buggy_codes\Count Array Pairs Divisible by K_operation.java,../../data/formatted/correct_codes\Count Array Pairs Divisible by K.java,../../data/formatted/debugged_codes_0_n\Count Array Pairs Divisible by K_operation.java,operation,115,0,0,Runtime Error,Runtime Error,0
Implement Queue using Stacks,../../data/formatted/buggy_codes\Implement Queue using Stacks_operation.java,../../data/formatted/correct_codes\Implement Queue using Stacks.java,../../data/formatted/debugged_codes_0_n\Implement Queue using Stacks_operation.java,operation,1,1,1,Accepted,Accepted,0
Image Smoother,../../data/formatted/buggy_codes\Image Smoother_condition.java,../../data/formatted/correct_codes\Image Smoother.java,../../data/formatted/debugged_codes_0_n\Image Smoother_condition.java,condition,203,3,3,Wrong Answer,Wrong Answer,0
Number of Different Integers in a String,../../data/formatted/buggy_codes\Number of Different Integers in a String_operation.java,../../data/formatted/correct_codes\Number of Different Integers in a String.java,../../data/formatted/debugged_codes_0_n\Number of Different Integers in a String_operation.java,operation,1,1,1,Accepted,Accepted,0
Minimize the Difference Between Target and Chosen Elements,../../data/formatted/buggy_codes\Minimize the Difference Between Target and Chosen Elements_nobug.java,../../data/formatted/correct_codes\Minimize the Difference Between Target and Chosen Elements.java,../../data/formatted/debugged_codes_0_n\Minimize the Difference Between Target and Chosen Elements_nobug.java,nobug,1,1,1,Accepted,Accepted,0
Rank Teams by Votes,../../data/formatted/buggy_codes\Rank Teams by Votes_condition.java,../../data/formatted/correct_codes\Rank Teams by Votes.java,../../data/formatted/debugged_codes_0_n\Rank Teams by Votes_condition.java,condition,36,3,2,Wrong Answer,Wrong Answer,-1
