problem_name,bug_path,correct_path,debugged_path,bug_type,codebleu_bug,codebleu_debugged,codebleu_diff,coderouge_bug,coderouge_debugged,coderouge_diff,codef1_bug,codef1_debugged,codef1_diff
4Sum,../data/formatted/buggy_codes_GPT/4Sum.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_GPTBuggyCodes_0_n/4Sum.java,4Sum,0.817613269675292,0.8137468947528794,-0.0038663749224125965,0.8097088122174319,0.8037376100878246,-0.005971202129607223,0.8133458218151628,0.8083209562712561,-0.005024865543906687
Accounts Merge,../data/formatted/buggy_codes_GPT/Accounts Merge.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Accounts Merge.java,Accounts Merge,0.9106989630114313,0.8690000766065078,-0.041698886404923474,0.9106989630114313,0.8528417123515107,-0.057857250659920534,0.9106989630114313,0.8603902430217316,-0.05030871998969966
Add Digits,../data/formatted/buggy_codes_GPT/Add Digits.java,../data/formatted/correct_codes/Add Digits.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Add Digits.java,Add Digits,0.6822272117327544,0.6967850073387376,0.014557795605983248,0.6743667199558125,0.6967850073387376,0.022418287382925062,0.6781641746445454,0.6967850073387376,0.018620832694192235
Adding Two Negabinary Numbers,../data/formatted/buggy_codes_GPT/Adding Two Negabinary Numbers.java,../data/formatted/correct_codes/Adding Two Negabinary Numbers.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Adding Two Negabinary Numbers.java,Adding Two Negabinary Numbers,0.9389424154605766,0.9297928227393156,-0.009149592721260924,0.9389424154605766,0.9309816671854082,-0.00796074827516835,0.9389424154605766,0.9303791114394411,-0.008563304021135476
All O`one Data Structure,../data/formatted/buggy_codes_GPT/All O`one Data Structure.java,../data/formatted/correct_codes/All O`one Data Structure.java,../data/formatted/debugged_GPTBuggyCodes_0_n/All O`one Data Structure.java,All O`one Data Structure,0.019941775836972344,0.022758275523453313,0.0028164996864809694,0.017971014492753623,0.019384671475405162,0.0014136569826515392,0.018532338308457713,0.020319627080010633,0.0017872887715529202
All Paths From Source to Target,../data/formatted/buggy_codes_GPT/All Paths From Source to Target.java,../data/formatted/correct_codes/All Paths From Source to Target.java,../data/formatted/debugged_GPTBuggyCodes_0_n/All Paths From Source to Target.java,All Paths From Source to Target,0.09686719391306567,0.32026619761296377,0.2233990036998981,0.09004770951249125,0.2787044476036692,0.18865673809117794,0.09173941794220525,0.29021882159177964,0.1984794036495744
Allocate Mailboxes,../data/formatted/buggy_codes_GPT/Allocate Mailboxes.java,../data/formatted/correct_codes/Allocate Mailboxes.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Allocate Mailboxes.java,Allocate Mailboxes,0.9407279388244876,0.9407279388244876,0.0,0.9378302071870475,0.9378302071870475,0.0,0.9392621674015733,0.9392621674015733,0.0
Apply Bitwise Operations to Make Strings Equal,../data/formatted/buggy_codes_GPT/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/correct_codes/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Apply Bitwise Operations to Make Strings Equal.java,Apply Bitwise Operations to Make Strings Equal,0.8367356280368039,0.8577096621804434,0.02097403414363952,0.8329846633589345,0.8577096621804434,0.024724998821508914,0.8348197428631718,0.8577096621804434,0.02288991931727158
Average of Levels in Binary Tree,../data/formatted/buggy_codes_GPT/Average of Levels in Binary Tree.java,../data/formatted/correct_codes/Average of Levels in Binary Tree.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Average of Levels in Binary Tree.java,Average of Levels in Binary Tree,0.9018269607452427,0.931910377284328,0.030083416539085306,0.8997869569016235,0.931910377284328,0.03212342038270455,0.9007457717595565,0.931910377284328,0.031164605524771516
Avoid Flood in The City,../data/formatted/buggy_codes_GPT/Avoid Flood in The City.java,../data/formatted/correct_codes/Avoid Flood in The City.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Avoid Flood in The City.java,Avoid Flood in The City,0.9100005465802552,0.9110105155534806,0.0010099689732253614,0.9100005465802552,0.9110105155534806,0.0010099689732253614,0.9100005465802552,0.9110105155534806,0.0010099689732253614
