problem_name,bug_path,correct_path,debugged_path,bug_type,ngram_match,weighted_ngram_match,syntax_match,dataflow_match,codebleu_bug,codebleu_debugged,difference
01 Matrix_character,../data/formatted/buggy_codes/01 Matrix_character.java,../data/formatted/correct_codes/01 Matrix.java,../data/formatted/debugged_codes_f_c/01 Matrix_character.java,character,,,,,0.9141018793498641,0.8489170364348666,-0.06518484291499749
1-bit and 2-bit Characters_index,../data/formatted/buggy_codes/1-bit and 2-bit Characters_index.java,../data/formatted/correct_codes/1-bit and 2-bit Characters.java,../data/formatted/debugged_codes_f_c/1-bit and 2-bit Characters_index.java,index,,,,,0.8383806044141061,0.9258947743093902,0.08751416989528404
132 Pattern_value,../data/formatted/buggy_codes/132 Pattern_value.java,../data/formatted/correct_codes/132 Pattern.java,../data/formatted/debugged_codes_f_c/132 Pattern_value.java,value,,,,,0.878224403160814,0.42131392997955275,-0.4569104731812612
2 Keys Keyboard_condition,../data/formatted/buggy_codes/2 Keys Keyboard_condition.java,../data/formatted/correct_codes/2 Keys Keyboard.java,../data/formatted/debugged_codes_f_c/2 Keys Keyboard_condition.java,condition,,,,,0.8759496623793595,0.8504373890144823,-0.025512273364877158
24 Game_nobug,../data/formatted/buggy_codes/24 Game_nobug.java,../data/formatted/correct_codes/24 Game.java,../data/formatted/debugged_codes_f_c/24 Game_nobug.java,nobug,,,,,0.9655721602546226,0.05028196735559913,-0.9152901928990235
3Sum With Multiplicity_nobug,../data/formatted/buggy_codes/3Sum With Multiplicity_nobug.java,../data/formatted/correct_codes/3Sum With Multiplicity.java,../data/formatted/debugged_codes_f_c/3Sum With Multiplicity_nobug.java,nobug,,,,,0.9523299524519762,0.9316023392394979,-0.02072761321247829
4Sum_value,../data/formatted/buggy_codes/4Sum_value.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_codes_f_c/4Sum_value.java,value,,,,,0.90174503345841,0.9077783249957917,0.006033291537381746
A Number After a Double Reversal_character,../data/formatted/buggy_codes/A Number After a Double Reversal_character.java,../data/formatted/correct_codes/A Number After a Double Reversal.java,../data/formatted/debugged_codes_f_c/A Number After a Double Reversal_character.java,character,,,,,0.781359387110944,0.13929888444407187,-0.6420605026668721
Accounts Merge_index,../data/formatted/buggy_codes/Accounts Merge_index.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_codes_f_c/Accounts Merge_index.java,index,,,,,0.9039895606652533,0.6999051903307478,-0.20408437033450544
Add Binary_condition,../data/formatted/buggy_codes/Add Binary_condition.java,../data/formatted/correct_codes/Add Binary.java,../data/formatted/debugged_codes_f_c/Add Binary_condition.java,condition,,,,,0.9325758558531592,0.946392329005264,0.01381647315210488
Add Digits_condition,../data/formatted/buggy_codes/Add Digits_condition.java,../data/formatted/correct_codes/Add Digits.java,../data/formatted/debugged_codes_f_c/Add Digits_condition.java,condition,,,,,0.6283261594315445,0.6967850073387376,0.06845884790719314
Add Minimum Number of Rungs_index,../data/formatted/buggy_codes/Add Minimum Number of Rungs_index.java,../data/formatted/correct_codes/Add Minimum Number of Rungs.java,../data/formatted/debugged_codes_f_c/Add Minimum Number of Rungs_index.java,index,,,,,0.8525245409123903,0.7552492682924441,-0.09727527261994617
Add One Row to Tree_operation,../data/formatted/buggy_codes/Add One Row to Tree_operation.java,../data/formatted/correct_codes/Add One Row to Tree.java,../data/formatted/debugged_codes_f_c/Add One Row to Tree_operation.java,operation,,,,,0.927113408866284,0.4795071894864597,-0.4476062193798243
Add Strings_value,../data/formatted/buggy_codes/Add Strings_value.java,../data/formatted/correct_codes/Add Strings.java,../data/formatted/debugged_codes_f_c/Add Strings_value.java,value,,,,,0.5044196557882142,0.6423105697693836,0.13789091398116937
Add to Array-Form of Integer_operation,../data/formatted/buggy_codes/Add to Array-Form of Integer_operation.java,../data/formatted/correct_codes/Add to Array-Form of Integer.java,../data/formatted/debugged_codes_f_c/Add to Array-Form of Integer_operation.java,operation,,,,,0.8884060731924123,0.9002474797713431,0.011841406578930846
Add Two Integers_value,../data/formatted/buggy_codes/Add Two Integers_value.java,../data/formatted/correct_codes/Add Two Integers.java,../data/formatted/debugged_codes_f_c/Add Two Integers_value.java,value,,,,,0.9039216871749263,0.1804042909768312,-0.7235173961980951
Add Two Numbers II_condition,../data/formatted/buggy_codes/Add Two Numbers II_condition.java,../data/formatted/correct_codes/Add Two Numbers II.java,../data/formatted/debugged_codes_f_c/Add Two Numbers II_condition.java,condition,,,,,0.8874728429387788,0.9012770419242544,0.01380419898547558
Add Two Numbers_character,../data/formatted/buggy_codes/Add Two Numbers_character.java,../data/formatted/correct_codes/Add Two Numbers.java,../data/formatted/debugged_codes_f_c/Add Two Numbers_character.java,character,,,,,0.905587830158117,0.9312758527420744,0.025688022583957415
Adding Spaces to a String_index,../data/formatted/buggy_codes/Adding Spaces to a String_index.java,../data/formatted/correct_codes/Adding Spaces to a String.java,../data/formatted/debugged_codes_f_c/Adding Spaces to a String_index.java,index,,,,,0.7952767831288565,0.8771982435320537,0.08192146040319714
Adding Two Negabinary Numbers_condition,../data/formatted/buggy_codes/Adding Two Negabinary Numbers_condition.java,../data/formatted/correct_codes/Adding Two Negabinary Numbers.java,../data/formatted/debugged_codes_f_c/Adding Two Negabinary Numbers_condition.java,condition,,,,,0.9289281494632957,0.7650768946371436,-0.16385125482615215
Additive Number_nobug,../data/formatted/buggy_codes/Additive Number_nobug.java,../data/formatted/correct_codes/Additive Number.java,../data/formatted/debugged_codes_f_c/Additive Number_nobug.java,nobug,,,,,0.9354041949632029,0.6659784083475377,-0.2694257866156652
Advantage Shuffle_condition,../data/formatted/buggy_codes/Advantage Shuffle_condition.java,../data/formatted/correct_codes/Advantage Shuffle.java,../data/formatted/debugged_codes_f_c/Advantage Shuffle_condition.java,condition,,,,,0.898319862226611,0.8542446264551782,-0.0440752357714328
Airplane Seat Assignment Probability_value,../data/formatted/buggy_codes/Airplane Seat Assignment Probability_value.java,../data/formatted/correct_codes/Airplane Seat Assignment Probability.java,../data/formatted/debugged_codes_f_c/Airplane Seat Assignment Probability_value.java,value,,,,,0.3941405006434411,0.24749249392570594,-0.14664800671773515
Alert Using Same Key-Card Three or More Times in a One Hour Period_character,../data/formatted/buggy_codes/Alert Using Same Key-Card Three or More Times in a One Hour Period_character.java,../data/formatted/correct_codes/Alert Using Same Key-Card Three or More Times in a One Hour Period.java,../data/formatted/debugged_codes_f_c/Alert Using Same Key-Card Three or More Times in a One Hour Period_character.java,character,,,,,0.9228311230874489,0.8981142955297591,-0.02471682755768978
All Divisions With the Highest Score of a Binary Array_index,../data/formatted/buggy_codes/All Divisions With the Highest Score of a Binary Array_index.java,../data/formatted/correct_codes/All Divisions With the Highest Score of a Binary Array.java,../data/formatted/debugged_codes_f_c/All Divisions With the Highest Score of a Binary Array_index.java,index,,,,,0.8940458890501285,0.951694318046636,0.05764842899650746
All Elements in Two Binary Search Trees_value,../data/formatted/buggy_codes/All Elements in Two Binary Search Trees_value.java,../data/formatted/correct_codes/All Elements in Two Binary Search Trees.java,../data/formatted/debugged_codes_f_c/All Elements in Two Binary Search Trees_value.java,value,,,,,0.8893018448463588,0.8937086698705914,0.004406825024232619
All Nodes Distance K in Binary Tree_condition,../data/formatted/buggy_codes/All Nodes Distance K in Binary Tree_condition.java,../data/formatted/correct_codes/All Nodes Distance K in Binary Tree.java,../data/formatted/debugged_codes_f_c/All Nodes Distance K in Binary Tree_condition.java,condition,,,,,0.8705733817566903,0.25697544862919375,-0.6135979331274966
All O`one Data Structure_nobug,../data/formatted/buggy_codes/All O`one Data Structure_nobug.java,../data/formatted/correct_codes/All O`one Data Structure.java,../data/formatted/debugged_codes_f_c/All O`one Data Structure_nobug.java,nobug,,,,,0.8487622909025334,0.4014632048417742,-0.4472990860607592
All Paths From Source to Target_index,../data/formatted/buggy_codes/All Paths From Source to Target_index.java,../data/formatted/correct_codes/All Paths From Source to Target.java,../data/formatted/debugged_codes_f_c/All Paths From Source to Target_index.java,index,,,,,0.9084611443485348,0.09090331558840098,-0.8175578287601337
All Possible Full Binary Trees_index,../data/formatted/buggy_codes/All Possible Full Binary Trees_index.java,../data/formatted/correct_codes/All Possible Full Binary Trees.java,../data/formatted/debugged_codes_f_c/All Possible Full Binary Trees_index.java,index,,,,,0.9090432864281486,0.9246094736622328,0.015566187234084206
Allocate Mailboxes_operation,../data/formatted/buggy_codes/Allocate Mailboxes_operation.java,../data/formatted/correct_codes/Allocate Mailboxes.java,../data/formatted/debugged_codes_f_c/Allocate Mailboxes_operation.java,operation,,,,,0.9312097483090659,0.4408726875497955,-0.4903370607592704
Alphabet Board Path_condition,../data/formatted/buggy_codes/Alphabet Board Path_condition.java,../data/formatted/correct_codes/Alphabet Board Path.java,../data/formatted/debugged_codes_f_c/Alphabet Board Path_condition.java,condition,,,,,0.8581084717833849,0.8738383567133106,0.015729884929925664
Ambiguous Coordinates_nobug,../data/formatted/buggy_codes/Ambiguous Coordinates_nobug.java,../data/formatted/correct_codes/Ambiguous Coordinates.java,../data/formatted/debugged_codes_f_c/Ambiguous Coordinates_nobug.java,nobug,,,,,0.9127603618400182,0.07329192140662348,-0.8394684404333947
Angle Between Hands of a Clock_value,../data/formatted/buggy_codes/Angle Between Hands of a Clock_value.java,../data/formatted/correct_codes/Angle Between Hands of a Clock.java,../data/formatted/debugged_codes_f_c/Angle Between Hands of a Clock_value.java,value,,,,,0.9197792431654205,0.39718620726671083,-0.5225930358987096
Apply Bitwise Operations to Make Strings Equal_value,../data/formatted/buggy_codes/Apply Bitwise Operations to Make Strings Equal_value.java,../data/formatted/correct_codes/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/debugged_codes_f_c/Apply Bitwise Operations to Make Strings Equal_value.java,value,,,,,0.8577096621804434,0.8150793121238968,-0.042630350056546584
Apply Discount Every n Orders_nobug,../data/formatted/buggy_codes/Apply Discount Every n Orders_nobug.java,../data/formatted/correct_codes/Apply Discount Every n Orders.java,../data/formatted/debugged_codes_f_c/Apply Discount Every n Orders_nobug.java,nobug,,,,,0.9241051661734987,0.8983415431310136,-0.02576362304248514
Apply Discount to Prices_nobug,../data/formatted/buggy_codes/Apply Discount to Prices_nobug.java,../data/formatted/correct_codes/Apply Discount to Prices.java,../data/formatted/debugged_codes_f_c/Apply Discount to Prices_nobug.java,nobug,,,,,0.9416262369343847,0.9416262369343847,0.0
