problem_name,bug_path,correct_path,debugged_path,bug_type,test_case_total,score_bug,score_debugged,message_bug,message_debugged,difference
Base 7,../../data/formatted/buggy_codes\Base 7_nobug.java,../../data/formatted/correct_codes\Base 7.java,../../data/formatted/debugged_codes_0_n\Base 7_nobug.java,nobug,1,0,0,Accepted,Accepted,0
Permutation Sequence,../../data/formatted/buggy_codes\Permutation Sequence_nobug.java,../../data/formatted/correct_codes\Permutation Sequence.java,../../data/formatted/debugged_codes_0_n\Permutation Sequence_nobug.java,nobug,200,0,0.03,Accepted,Wrong Answer,0.03
Binary Search Tree Iterator,../../data/formatted/buggy_codes\Binary Search Tree Iterator_nobug.java,../../data/formatted/correct_codes\Binary Search Tree Iterator.java,../../data/formatted/debugged_codes_0_n\Binary Search Tree Iterator_nobug.java,nobug,1,0,0,Accepted,Accepted,0
Shuffle String,../../data/formatted/buggy_codes\Shuffle String_value.java,../../data/formatted/correct_codes\Shuffle String.java,../../data/formatted/debugged_codes_0_n\Shuffle String_value.java,value,1,0,0,Accepted,Accepted,0
Count Unguarded Cells in the Grid,../../data/formatted/buggy_codes\Count Unguarded Cells in the Grid_nobug.java,../../data/formatted/correct_codes\Count Unguarded Cells in the Grid.java,../../data/formatted/debugged_codes_0_n\Count Unguarded Cells in the Grid_nobug.java,nobug,48,0,0.3333333333333333,Accepted,Wrong Answer,0.3333333333333333
Daily Temperatures,../../data/formatted/buggy_codes\Daily Temperatures_index.java,../../data/formatted/correct_codes\Daily Temperatures.java,../../data/formatted/debugged_codes_0_n\Daily Temperatures_index.java,index,1,0,0,Compile Error,Accepted,0
Pascal's Triangle II,../../data/formatted/buggy_codes\Pascal's Triangle II_condition.java,../../data/formatted/correct_codes\Pascal's Triangle II.java,../../data/formatted/debugged_codes_0_n\Pascal's Triangle II_condition.java,condition,34,0.0,0,Runtime Error,Accepted,0.0
Letter Tile Possibilities,../../data/formatted/buggy_codes\Letter Tile Possibilities_character.java,../../data/formatted/correct_codes\Letter Tile Possibilities.java,../../data/formatted/debugged_codes_0_n\Letter Tile Possibilities_character.java,character,1,0,0,Compile Error,Accepted,0
Find the Winner of an Array Game,../../data/formatted/buggy_codes\Find the Winner of an Array Game_value.java,../../data/formatted/correct_codes\Find the Winner of an Array Game.java,../../data/formatted/debugged_codes_0_n\Find the Winner of an Array Game_value.java,value,185,0.7351351351351352,0,Wrong Answer,Accepted,-0.7351351351351352
Check If Two String Arrays are Equivalent,../../data/formatted/buggy_codes\Check If Two String Arrays are Equivalent_nobug.java,../../data/formatted/correct_codes\Check If Two String Arrays are Equivalent.java,../../data/formatted/debugged_codes_0_n\Check If Two String Arrays are Equivalent_nobug.java,nobug,1,0,0,Accepted,Accepted,0
