problem_name,bug_path,correct_path,debugged_path,bug_type,ngram_match,weighted_ngram_match,syntax_match,dataflow_match,codebleu_bug,codebleu_debugged,difference
01 Matrix_character,../data/formatted/buggy_codes/01 Matrix_character.java,../data/formatted/correct_codes/01 Matrix.java,../data/formatted/debugged_codes_0_n/01 Matrix_character.java,character,,,,,0.9141018793498641,0.8407678108737553,-0.0733340684761088
1-bit and 2-bit Characters_index,../data/formatted/buggy_codes/1-bit and 2-bit Characters_index.java,../data/formatted/correct_codes/1-bit and 2-bit Characters.java,../data/formatted/debugged_codes_0_n/1-bit and 2-bit Characters_index.java,index,,,,,0.8383806044141061,0.763965053225966,-0.07441555118814014
132 Pattern_value,../data/formatted/buggy_codes/132 Pattern_value.java,../data/formatted/correct_codes/132 Pattern.java,../data/formatted/debugged_codes_0_n/132 Pattern_value.java,value,,,,,0.9119474635706692,0.8867213714094312,-0.025226092161238056
2 Keys Keyboard_condition,../data/formatted/buggy_codes/2 Keys Keyboard_condition.java,../data/formatted/correct_codes/2 Keys Keyboard.java,../data/formatted/debugged_codes_0_n/2 Keys Keyboard_condition.java,condition,,,,,0.8759496623793595,0.9020929518789592,0.026143289499599764
24 Game_nobug,../data/formatted/buggy_codes/24 Game_nobug.java,../data/formatted/correct_codes/24 Game.java,../data/formatted/debugged_codes_0_n/24 Game_nobug.java,nobug,,,,,0.9655721602546226,0.9655721602546226,0.0
3Sum With Multiplicity_nobug,../data/formatted/buggy_codes/3Sum With Multiplicity_nobug.java,../data/formatted/correct_codes/3Sum With Multiplicity.java,../data/formatted/debugged_codes_0_n/3Sum With Multiplicity_nobug.java,nobug,,,,,0.9523299524519762,0.8603594892594258,-0.09197046319255031
4Sum_value,../data/formatted/buggy_codes/4Sum_value.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_codes_0_n/4Sum_value.java,value,,,,,0.90174503345841,0.8832408809439,-0.018504152514509986
A Number After a Double Reversal_character,../data/formatted/buggy_codes/A Number After a Double Reversal_character.java,../data/formatted/correct_codes/A Number After a Double Reversal.java,../data/formatted/debugged_codes_0_n/A Number After a Double Reversal_character.java,character,,,,,0.923303685522583,0.923303685522583,0.0
Accounts Merge_index,../data/formatted/buggy_codes/Accounts Merge_index.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_codes_0_n/Accounts Merge_index.java,index,,,,,0.9039895606652533,0.8737654544909694,-0.030224106174283838
Add Binary_condition,../data/formatted/buggy_codes/Add Binary_condition.java,../data/formatted/correct_codes/Add Binary.java,../data/formatted/debugged_codes_0_n/Add Binary_condition.java,condition,,,,,0.9325758558531592,0.946392329005264,0.01381647315210488
Add Digits_condition,../data/formatted/buggy_codes/Add Digits_condition.java,../data/formatted/correct_codes/Add Digits.java,../data/formatted/debugged_codes_0_n/Add Digits_condition.java,condition,,,,,0.6283261594315445,0.4806385909230401,-0.14768756850850434
Add Minimum Number of Rungs_index,../data/formatted/buggy_codes/Add Minimum Number of Rungs_index.java,../data/formatted/correct_codes/Add Minimum Number of Rungs.java,../data/formatted/debugged_codes_0_n/Add Minimum Number of Rungs_index.java,index,,,,,0.8346673980552475,0.9516577996792263,0.11699040162397878
Add One Row to Tree_operation,../data/formatted/buggy_codes/Add One Row to Tree_operation.java,../data/formatted/correct_codes/Add One Row to Tree.java,../data/formatted/debugged_codes_0_n/Add One Row to Tree_operation.java,operation,,,,,0.927113408866284,0.22852446626856104,-0.698588942597723
Add Strings_value,../data/formatted/buggy_codes/Add Strings_value.java,../data/formatted/correct_codes/Add Strings.java,../data/formatted/debugged_codes_0_n/Add Strings_value.java,value,,,,,0.5044196557882142,0.6423105697693836,0.13789091398116937
Add to Array-Form of Integer_operation,../data/formatted/buggy_codes/Add to Array-Form of Integer_operation.java,../data/formatted/correct_codes/Add to Array-Form of Integer.java,../data/formatted/debugged_codes_0_n/Add to Array-Form of Integer_operation.java,operation,,,,,0.8884060731924123,0.859690479377415,-0.02871559381499722
Add Two Integers_value,../data/formatted/buggy_codes/Add Two Integers_value.java,../data/formatted/correct_codes/Add Two Integers.java,../data/formatted/debugged_codes_0_n/Add Two Integers_value.java,value,,,,,0.9294639479922309,0.5385659739732712,-0.39089797401895965
Add Two Numbers II_condition,../data/formatted/buggy_codes/Add Two Numbers II_condition.java,../data/formatted/correct_codes/Add Two Numbers II.java,../data/formatted/debugged_codes_0_n/Add Two Numbers II_condition.java,condition,,,,,0.8874728429387788,0.5740494061722425,-0.3134234367665363
Add Two Numbers_character,../data/formatted/buggy_codes/Add Two Numbers_character.java,../data/formatted/correct_codes/Add Two Numbers.java,../data/formatted/debugged_codes_0_n/Add Two Numbers_character.java,character,,,,,0.905587830158117,0.9196122890132477,0.014024458855130706
Adding Spaces to a String_index,../data/formatted/buggy_codes/Adding Spaces to a String_index.java,../data/formatted/correct_codes/Adding Spaces to a String.java,../data/formatted/debugged_codes_0_n/Adding Spaces to a String_index.java,index,,,,,0.7952767831288565,0.8771982435320537,0.08192146040319714
Adding Two Negabinary Numbers_condition,../data/formatted/buggy_codes/Adding Two Negabinary Numbers_condition.java,../data/formatted/correct_codes/Adding Two Negabinary Numbers.java,../data/formatted/debugged_codes_0_n/Adding Two Negabinary Numbers_condition.java,condition,,,,,0.9289281494632957,0.9389424154605766,0.010014265997280836
Additive Number_nobug,../data/formatted/buggy_codes/Additive Number_nobug.java,../data/formatted/correct_codes/Additive Number.java,../data/formatted/debugged_codes_0_n/Additive Number_nobug.java,nobug,,,,,0.9354041949632029,0.9098838963401293,-0.02552029862307359
Advantage Shuffle_condition,../data/formatted/buggy_codes/Advantage Shuffle_condition.java,../data/formatted/correct_codes/Advantage Shuffle.java,../data/formatted/debugged_codes_0_n/Advantage Shuffle_condition.java,condition,,,,,0.9058309067146434,0.9058309067146434,0.0
Airplane Seat Assignment Probability_value,../data/formatted/buggy_codes/Airplane Seat Assignment Probability_value.java,../data/formatted/correct_codes/Airplane Seat Assignment Probability.java,../data/formatted/debugged_codes_0_n/Airplane Seat Assignment Probability_value.java,value,,,,,0.3941405006434411,0.22070677963999163,-0.17343372100344945
Alert Using Same Key-Card Three or More Times in a One Hour Period_character,../data/formatted/buggy_codes/Alert Using Same Key-Card Three or More Times in a One Hour Period_character.java,../data/formatted/correct_codes/Alert Using Same Key-Card Three or More Times in a One Hour Period.java,../data/formatted/debugged_codes_0_n/Alert Using Same Key-Card Three or More Times in a One Hour Period_character.java,character,,,,,0.9228311230874489,0.9228311230874489,0.0
All Divisions With the Highest Score of a Binary Array_index,../data/formatted/buggy_codes/All Divisions With the Highest Score of a Binary Array_index.java,../data/formatted/correct_codes/All Divisions With the Highest Score of a Binary Array.java,../data/formatted/debugged_codes_0_n/All Divisions With the Highest Score of a Binary Array_index.java,index,,,,,0.8997277072319467,0.951694318046636,0.05196661081468923
All Elements in Two Binary Search Trees_value,../data/formatted/buggy_codes/All Elements in Two Binary Search Trees_value.java,../data/formatted/correct_codes/All Elements in Two Binary Search Trees.java,../data/formatted/debugged_codes_0_n/All Elements in Two Binary Search Trees_value.java,value,,,,,0.8893018448463588,0.8259676634497801,-0.06333418139657865
All Nodes Distance K in Binary Tree_condition,../data/formatted/buggy_codes/All Nodes Distance K in Binary Tree_condition.java,../data/formatted/correct_codes/All Nodes Distance K in Binary Tree.java,../data/formatted/debugged_codes_0_n/All Nodes Distance K in Binary Tree_condition.java,condition,,,,,0.8705733817566903,0.8316126713130023,-0.038960710443687985
All O`one Data Structure_nobug,../data/formatted/buggy_codes/All O`one Data Structure_nobug.java,../data/formatted/correct_codes/All O`one Data Structure.java,../data/formatted/debugged_codes_0_n/All O`one Data Structure_nobug.java,nobug,,,,,0.8487622909025334,0.13670649206254368,-0.7120557988399897
All Paths From Source to Target_index,../data/formatted/buggy_codes/All Paths From Source to Target_index.java,../data/formatted/correct_codes/All Paths From Source to Target.java,../data/formatted/debugged_codes_0_n/All Paths From Source to Target_index.java,index,,,,,0.9084611443485348,0.09090331558840098,-0.8175578287601337
All Possible Full Binary Trees_index,../data/formatted/buggy_codes/All Possible Full Binary Trees_index.java,../data/formatted/correct_codes/All Possible Full Binary Trees.java,../data/formatted/debugged_codes_0_n/All Possible Full Binary Trees_index.java,index,,,,,0.9090432864281486,0.9246094736622328,0.015566187234084206
Allocate Mailboxes_operation,../data/formatted/buggy_codes/Allocate Mailboxes_operation.java,../data/formatted/correct_codes/Allocate Mailboxes.java,../data/formatted/debugged_codes_0_n/Allocate Mailboxes_operation.java,operation,,,,,0.9312097483090659,0.9542968978702636,0.02308714956119773
Alphabet Board Path_condition,../data/formatted/buggy_codes/Alphabet Board Path_condition.java,../data/formatted/correct_codes/Alphabet Board Path.java,../data/formatted/debugged_codes_0_n/Alphabet Board Path_condition.java,condition,,,,,0.8581084717833849,0.8738383567133106,0.015729884929925664
Ambiguous Coordinates_nobug,../data/formatted/buggy_codes/Ambiguous Coordinates_nobug.java,../data/formatted/correct_codes/Ambiguous Coordinates.java,../data/formatted/debugged_codes_0_n/Ambiguous Coordinates_nobug.java,nobug,,,,,0.9127603618400182,0.8854819596977139,-0.02727840214230426
Angle Between Hands of a Clock_value,../data/formatted/buggy_codes/Angle Between Hands of a Clock_value.java,../data/formatted/correct_codes/Angle Between Hands of a Clock.java,../data/formatted/debugged_codes_0_n/Angle Between Hands of a Clock_value.java,value,,,,,0.9197792431654205,0.4085235576512133,-0.5112556855142072
Apply Bitwise Operations to Make Strings Equal_value,../data/formatted/buggy_codes/Apply Bitwise Operations to Make Strings Equal_value.java,../data/formatted/correct_codes/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/debugged_codes_0_n/Apply Bitwise Operations to Make Strings Equal_value.java,value,,,,,0.8238063861506526,0.19431017642530424,-0.6294962097253484
Apply Discount Every n Orders_nobug,../data/formatted/buggy_codes/Apply Discount Every n Orders_nobug.java,../data/formatted/correct_codes/Apply Discount Every n Orders.java,../data/formatted/debugged_codes_0_n/Apply Discount Every n Orders_nobug.java,nobug,,,,,0.9305300710550295,0.8875226875407487,-0.043007383514280795
Apply Discount to Prices_nobug,../data/formatted/buggy_codes/Apply Discount to Prices_nobug.java,../data/formatted/correct_codes/Apply Discount to Prices.java,../data/formatted/debugged_codes_0_n/Apply Discount to Prices_nobug.java,nobug,,,,,0.9243720961182577,0.45362998782285935,-0.4707421082953983
Arithmetic Slices II - Subsequence_character,../data/formatted/buggy_codes/Arithmetic Slices II - Subsequence_character.java,../data/formatted/correct_codes/Arithmetic Slices II - Subsequence.java,../data/formatted/debugged_codes_0_n/Arithmetic Slices II - Subsequence_character.java,character,,,,,0.9384078261083767,0.9459025452275429,0.0074947191191662155
Arithmetic Slices_condition,../data/formatted/buggy_codes/Arithmetic Slices_condition.java,../data/formatted/correct_codes/Arithmetic Slices.java,../data/formatted/debugged_codes_0_n/Arithmetic Slices_condition.java,condition,,,,,0.9201733623170671,0.8829233552871992,-0.037250007029867915
Arithmetic Subarrays_character,../data/formatted/buggy_codes/Arithmetic Subarrays_character.java,../data/formatted/correct_codes/Arithmetic Subarrays.java,../data/formatted/debugged_codes_0_n/Arithmetic Subarrays_character.java,character,,,,,0.9311166066880933,0.22172956921503603,-0.7093870374730572
Arranging Coins_value,../data/formatted/buggy_codes/Arranging Coins_value.java,../data/formatted/correct_codes/Arranging Coins.java,../data/formatted/debugged_codes_0_n/Arranging Coins_value.java,value,,,,,0.9634018379156257,0.9634018379156257,0.0
Array Nesting_value,../data/formatted/buggy_codes/Array Nesting_value.java,../data/formatted/correct_codes/Array Nesting.java,../data/formatted/debugged_codes_0_n/Array Nesting_value.java,value,,,,,0.8893915466149394,0.9330475675194734,0.04365602090453402
Array of Doubled Pairs_condition,../data/formatted/buggy_codes/Array of Doubled Pairs_condition.java,../data/formatted/correct_codes/Array of Doubled Pairs.java,../data/formatted/debugged_codes_0_n/Array of Doubled Pairs_condition.java,condition,,,,,0.9399911295155801,0.878932557848268,-0.0610585716673121
Array Partition_operation,../data/formatted/buggy_codes/Array Partition_operation.java,../data/formatted/correct_codes/Array Partition.java,../data/formatted/debugged_codes_0_n/Array Partition_operation.java,operation,,,,,0.8881786835148744,0.8881786835148744,0.0
