problem_name,bug_path,correct_path,debugged_path,bug_type,ngram_match,weighted_ngram_match,syntax_match,dataflow_match,codebleu_bug,codebleu_debugged,difference
4Sum,../data/formatted/buggy_codes_GPT/4Sum.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_GPTBuggyCodes_0_n/4Sum.java,4Sum,,,,,0.8087540931776065,0.802782891047999,-0.005971202129607445
Accounts Merge,../data/formatted/buggy_codes_GPT/Accounts Merge.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Accounts Merge.java,Accounts Merge,,,,,0.9106989630114313,0.8704013191557494,-0.04029764385568191
Add Digits,../data/formatted/buggy_codes_GPT/Add Digits.java,../data/formatted/correct_codes/Add Digits.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Add Digits.java,Add Digits,,,,,0.6743667199558125,0.6967850073387376,0.022418287382925062
Adding Two Negabinary Numbers,../data/formatted/buggy_codes_GPT/Adding Two Negabinary Numbers.java,../data/formatted/correct_codes/Adding Two Negabinary Numbers.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Adding Two Negabinary Numbers.java,Adding Two Negabinary Numbers,,,,,0.9389424154605766,0.9287703649741059,-0.01017205048647063
All O`one Data Structure,../data/formatted/buggy_codes_GPT/All O`one Data Structure.java,../data/formatted/correct_codes/All O`one Data Structure.java,../data/formatted/debugged_GPTBuggyCodes_0_n/All O`one Data Structure.java,All O`one Data Structure,,,,,0.019941775836972344,0.022669273715769697,0.002727497878797353
All Paths From Source to Target,../data/formatted/buggy_codes_GPT/All Paths From Source to Target.java,../data/formatted/correct_codes/All Paths From Source to Target.java,../data/formatted/debugged_GPTBuggyCodes_0_n/All Paths From Source to Target.java,All Paths From Source to Target,,,,,0.09062071460586985,0.2801369603371157,0.18951624573124587
Allocate Mailboxes,../data/formatted/buggy_codes_GPT/Allocate Mailboxes.java,../data/formatted/correct_codes/Allocate Mailboxes.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Allocate Mailboxes.java,Allocate Mailboxes,,,,,0.9360450596148481,0.9360450596148481,0.0
Apply Bitwise Operations to Make Strings Equal,../data/formatted/buggy_codes_GPT/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/correct_codes/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Apply Bitwise Operations to Make Strings Equal.java,Apply Bitwise Operations to Make Strings Equal,,,,,0.8329846633589345,0.8577096621804434,0.024724998821508914
Average of Levels in Binary Tree,../data/formatted/buggy_codes_GPT/Average of Levels in Binary Tree.java,../data/formatted/correct_codes/Average of Levels in Binary Tree.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Average of Levels in Binary Tree.java,Average of Levels in Binary Tree,,,,,0.8949036145250635,0.931910377284328,0.03700676275926451
Avoid Flood in The City,../data/formatted/buggy_codes_GPT/Avoid Flood in The City.java,../data/formatted/correct_codes/Avoid Flood in The City.java,../data/formatted/debugged_GPTBuggyCodes_0_n/Avoid Flood in The City.java,Avoid Flood in The City,,,,,0.9100005465802552,0.9110105155534806,0.0010099689732253614
