problem_name,bug_path,correct_path,debugged_path,bug_type,codebleu_bug,codebleu_debugged,codebleu_diff,coderouge_bug,coderouge_debugged,coderouge_diff,codef1_bug,codef1_debugged,codef1_diff,truncated,pad_bug,pad_correct,pad_debugged
01 Matrix_character,../data/formatted/buggy_codes/01 Matrix_character.java,../data/formatted/correct_codes/01 Matrix.java,../data/formatted/debugged_desc_codes_f_c/01 Matrix_character.java,character,0.9143628682313414,0.292954509523805,-0.6214083587075364,0.9107164419253169,0.2612384610086645,-0.6494779809166524,0.9125186700194293,0.267225272561239,-0.6452933974581903,False,True,True,False
1-bit and 2-bit Characters_index,../data/formatted/buggy_codes/1-bit and 2-bit Characters_index.java,../data/formatted/correct_codes/1-bit and 2-bit Characters.java,../data/formatted/debugged_desc_codes_f_c/1-bit and 2-bit Characters_index.java,index,0.8627168395764566,0.825246325212309,-0.03747051436414761,0.8432372186601745,0.7992651575792211,-0.04397206108095342,0.8525124169317546,0.8101148894916577,-0.04239752744009695,False,False,False,True
132 Pattern_value,../data/formatted/buggy_codes/132 Pattern_value.java,../data/formatted/correct_codes/132 Pattern.java,../data/formatted/debugged_desc_codes_f_c/132 Pattern_value.java,value,0.9119474635706692,0.9119474635706692,0.0,0.9119474635706692,0.9119474635706692,0.0,0.9119474635706692,0.9119474635706692,0.0,False,False,False,False
2 Keys Keyboard_condition,../data/formatted/buggy_codes/2 Keys Keyboard_condition.java,../data/formatted/correct_codes/2 Keys Keyboard.java,../data/formatted/debugged_desc_codes_f_c/2 Keys Keyboard_condition.java,condition,0.8818538403957583,0.6231606781218001,-0.2586931622739582,0.8759496623793595,0.616247520328986,-0.25970214205037345,0.8788270161697345,0.6186633026629342,-0.26016371350680023,False,False,False,True
24 Game_nobug,../data/formatted/buggy_codes/24 Game_nobug.java,../data/formatted/correct_codes/24 Game.java,../data/formatted/debugged_desc_codes_f_c/24 Game_nobug.java,nobug,0.9655721602546226,0.9655721602546226,0.0,0.9655721602546226,0.9655721602546226,0.0,0.9655721602546226,0.9655721602546226,0.0,False,False,False,False
3Sum With Multiplicity_nobug,../data/formatted/buggy_codes/3Sum With Multiplicity_nobug.java,../data/formatted/correct_codes/3Sum With Multiplicity.java,../data/formatted/debugged_desc_codes_f_c/3Sum With Multiplicity_nobug.java,nobug,0.9523299524519762,0.9523299524519762,0.0,0.9523299524519762,0.9523299524519762,0.0,0.9523299524519762,0.9523299524519762,0.0,False,False,False,False
4Sum_value,../data/formatted/buggy_codes/4Sum_value.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_desc_codes_f_c/4Sum_value.java,value,0.9038157379179249,0.27773201519214263,-0.6260837227257823,0.90174503345841,0.22691543071790882,-0.6748296027405012,0.9027720324586765,0.2424020359317265,-0.66036999652695,False,False,False,True
A Number After a Double Reversal_character,../data/formatted/buggy_codes/A Number After a Double Reversal_character.java,../data/formatted/correct_codes/A Number After a Double Reversal.java,../data/formatted/debugged_desc_codes_f_c/A Number After a Double Reversal_character.java,character,0.6861983579766834,0.08179063074178258,-0.6044077272349008,0.6861983579766834,0.1157152489135605,-0.5704831090631228,0.6861983579766834,0.0916610741994611,-0.5945372837772223,False,True,True,False
Accounts Merge_index,../data/formatted/buggy_codes/Accounts Merge_index.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_desc_codes_f_c/Accounts Merge_index.java,index,0.9044552666067216,0.9106989630114313,0.0062436964047096755,0.9039895606652533,0.9106989630114313,0.006709402346178006,0.9042213182207696,0.9106989630114313,0.006477644790661707,False,False,False,False
Add Binary_condition,../data/formatted/buggy_codes/Add Binary_condition.java,../data/formatted/correct_codes/Add Binary.java,../data/formatted/debugged_desc_codes_f_c/Add Binary_condition.java,condition,0.9347389758241209,0.946392329005264,0.011653353181143133,0.9325758558531592,0.946392329005264,0.01381647315210488,0.933640395408786,0.946392329005264,0.012751933596478082,False,False,False,False
