problem_name,bug_path,correct_path,debugged_path,bug_type,codebleu_bug,codebleu_debugged,codebleu_diff,coderouge_bug,coderouge_debugged,coderouge_diff,codef1_bug,codef1_debugged,codef1_diff,truncated,pad_bug,pad_correct,pad_debugged
01 Matrix_character,../data/formatted/buggy_codes/01 Matrix_character.java,../data/formatted/correct_codes/01 Matrix.java,../data/formatted/debugged_desc_codes_0_n/01 Matrix_character.java,character,0.917799610781425,0.9293011112896631,0.01150150050823806,0.9141018793498641,0.9293011112896631,0.015199231939798996,0.9159292570026114,0.9293011112896631,0.013371854287051677,False,False,False,False
1-bit and 2-bit Characters_index,../data/formatted/buggy_codes/1-bit and 2-bit Characters_index.java,../data/formatted/correct_codes/1-bit and 2-bit Characters.java,../data/formatted/debugged_desc_codes_0_n/1-bit and 2-bit Characters_index.java,index,0.8627168395764566,0.9258947743093902,0.06317793473293354,0.8432372186601745,0.9258947743093902,0.08265755564921562,0.8525124169317546,0.9258947743093902,0.07338235737763554,False,False,False,False
132 Pattern_value,../data/formatted/buggy_codes/132 Pattern_value.java,../data/formatted/correct_codes/132 Pattern.java,../data/formatted/debugged_desc_codes_0_n/132 Pattern_value.java,value,0.9119474635706692,0.900691319367838,-0.011256144202831275,0.9119474635706692,0.8986549319234053,-0.013292531647263961,0.9119474635706692,0.8996528198416065,-0.012294643729062749,False,False,False,False
2 Keys Keyboard_condition,../data/formatted/buggy_codes/2 Keys Keyboard_condition.java,../data/formatted/correct_codes/2 Keys Keyboard.java,../data/formatted/debugged_desc_codes_0_n/2 Keys Keyboard_condition.java,condition,0.8818538403957583,0.9020929518789592,0.0202391114832009,0.8759496623793595,0.9020929518789592,0.026143289499599764,0.8788270161697345,0.9020929518789592,0.02326593570922475,False,False,False,False
24 Game_nobug,../data/formatted/buggy_codes/24 Game_nobug.java,../data/formatted/correct_codes/24 Game.java,../data/formatted/debugged_desc_codes_0_n/24 Game_nobug.java,nobug,0.9655721602546226,0.9553954017330961,-0.010176758521526441,0.9655721602546226,0.9548057798574704,-0.010766380397152164,0.9655721602546226,0.9550900863690565,-0.010482073885566101,False,False,False,False
3Sum With Multiplicity_nobug,../data/formatted/buggy_codes/3Sum With Multiplicity_nobug.java,../data/formatted/correct_codes/3Sum With Multiplicity.java,../data/formatted/debugged_desc_codes_0_n/3Sum With Multiplicity_nobug.java,nobug,0.9523299524519762,0.9175110229606515,-0.0348189294913247,0.9523299524519762,0.9119906709365422,-0.04033928151543398,0.9523299524519762,0.914221250734365,-0.03810870171761116,False,False,False,False
4Sum_value,../data/formatted/buggy_codes/4Sum_value.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_desc_codes_0_n/4Sum_value.java,value,0.9038157379179249,0.9038157379179249,0.0,0.90174503345841,0.90174503345841,0.0,0.9027720324586765,0.9027720324586765,0.0,False,False,False,False
A Number After a Double Reversal_character,../data/formatted/buggy_codes/A Number After a Double Reversal_character.java,../data/formatted/correct_codes/A Number After a Double Reversal.java,../data/formatted/debugged_desc_codes_0_n/A Number After a Double Reversal_character.java,character,0.8471170612774217,0.25793060147008046,-0.5891864598073413,0.8471170612774217,0.25939232322185346,-0.5877247380555682,0.8471170612774217,0.25223200847132626,-0.5948850528060954,False,True,True,False
Accounts Merge_index,../data/formatted/buggy_codes/Accounts Merge_index.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_desc_codes_0_n/Accounts Merge_index.java,index,0.9044552666067216,0.9106989630114313,0.0062436964047096755,0.9039895606652533,0.9106989630114313,0.006709402346178006,0.9042213182207696,0.9106989630114313,0.006477644790661707,False,False,False,False
Add Binary_condition,../data/formatted/buggy_codes/Add Binary_condition.java,../data/formatted/correct_codes/Add Binary.java,../data/formatted/debugged_desc_codes_0_n/Add Binary_condition.java,condition,0.9347389758241209,0.8489553144219442,-0.08578366140217675,0.9325758558531592,0.8280548656361408,-0.10452099021701833,0.933640395408786,0.8383034184764864,-0.09533697693229959,False,False,False,True
