problem_name,bug_path,correct_path,debugged_path,bug_type,ngram_match,weighted_ngram_match,syntax_match,dataflow_match,codebleu_bug,codebleu_debugged,difference
4Sum,../data/formatted/buggy_codes_GPT/4Sum.java,../data/formatted/correct_codes/4Sum.java,../data/formatted/debugged_GPTBuggyCodes_0_c/4Sum.java,4Sum,,,,,0.8087540931776065,0.7666573272937898,-0.04209676588381672
Accounts Merge,../data/formatted/buggy_codes_GPT/Accounts Merge.java,../data/formatted/correct_codes/Accounts Merge.java,../data/formatted/debugged_GPTBuggyCodes_0_c/Accounts Merge.java,Accounts Merge,,,,,0.9106989630114313,0.4608099733338872,-0.4498889896775441
Add Digits,../data/formatted/buggy_codes_GPT/Add Digits.java,../data/formatted/correct_codes/Add Digits.java,../data/formatted/debugged_GPTBuggyCodes_0_c/Add Digits.java,Add Digits,,,,,0.6743667199558125,0.6967850073387376,0.022418287382925062
Adding Two Negabinary Numbers,../data/formatted/buggy_codes_GPT/Adding Two Negabinary Numbers.java,../data/formatted/correct_codes/Adding Two Negabinary Numbers.java,../data/formatted/debugged_GPTBuggyCodes_0_c/Adding Two Negabinary Numbers.java,Adding Two Negabinary Numbers,,,,,0.9389424154605766,0.0008543804543119859,-0.9380880350062646
All O`one Data Structure,../data/formatted/buggy_codes_GPT/All O`one Data Structure.java,../data/formatted/correct_codes/All O`one Data Structure.java,../data/formatted/debugged_GPTBuggyCodes_0_c/All O`one Data Structure.java,All O`one Data Structure,,,,,0.019941775836972344,0.0003925332692088921,-0.019549242567763452
All Paths From Source to Target,../data/formatted/buggy_codes_GPT/All Paths From Source to Target.java,../data/formatted/correct_codes/All Paths From Source to Target.java,../data/formatted/debugged_GPTBuggyCodes_0_c/All Paths From Source to Target.java,All Paths From Source to Target,,,,,0.09062071460586985,0.09090331558840098,0.00028260098253113375
Allocate Mailboxes,../data/formatted/buggy_codes_GPT/Allocate Mailboxes.java,../data/formatted/correct_codes/Allocate Mailboxes.java,../data/formatted/debugged_GPTBuggyCodes_0_c/Allocate Mailboxes.java,Allocate Mailboxes,,,,,0.9360450596148481,0.5367731068448798,-0.3992719527699683
Apply Bitwise Operations to Make Strings Equal,../data/formatted/buggy_codes_GPT/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/correct_codes/Apply Bitwise Operations to Make Strings Equal.java,../data/formatted/debugged_GPTBuggyCodes_0_c/Apply Bitwise Operations to Make Strings Equal.java,Apply Bitwise Operations to Make Strings Equal,,,,,0.8329846633589345,0.8577096621804434,0.024724998821508914
Average of Levels in Binary Tree,../data/formatted/buggy_codes_GPT/Average of Levels in Binary Tree.java,../data/formatted/correct_codes/Average of Levels in Binary Tree.java,../data/formatted/debugged_GPTBuggyCodes_0_c/Average of Levels in Binary Tree.java,Average of Levels in Binary Tree,,,,,0.8949036145250635,0.931910377284328,0.03700676275926451
Avoid Flood in The City,../data/formatted/buggy_codes_GPT/Avoid Flood in The City.java,../data/formatted/correct_codes/Avoid Flood in The City.java,../data/formatted/debugged_GPTBuggyCodes_0_c/Avoid Flood in The City.java,Avoid Flood in The City,,,,,0.9100005465802552,0.9110105155534806,0.0010099689732253614
Best Sightseeing Pair,../data/formatted/buggy_codes_GPT/Best Sightseeing Pair.java,../data/formatted/correct_codes/Best Sightseeing Pair.java,../data/formatted/debugged_GPTBuggyCodes_0_c/Best Sightseeing Pair.java,Best Sightseeing Pair,,,,,0.8485867222173181,0.058057195329543565,-0.7905295268877746
Binary Tree Postorder Traversal,../data/formatted/buggy_codes_GPT/Binary Tree Postorder Traversal.java,../data/formatted/correct_codes/Binary Tree Postorder Traversal.java,../data/formatted/debugged_GPTBuggyCodes_0_c/Binary Tree Postorder Traversal.java,Binary Tree Postorder Traversal,,,,,0.7788648616234767,0.8015522756621222,0.022687414038645493
Brick Wall,../data/formatted/buggy_codes_GPT/Brick Wall.java,../data/formatted/correct_codes/Brick Wall.java,../data/formatted/debugged_GPTBuggyCodes_0_c/Brick Wall.java,Brick Wall,,,,,0.41455279178690757,0.4210499392866949,0.0064971474997873035
Building Boxes,../data/formatted/buggy_codes_GPT/Building Boxes.java,../data/formatted/correct_codes/Building Boxes.java,../data/formatted/debugged_GPTBuggyCodes_0_c/Building Boxes.java,Building Boxes,,,,,0.9202122728208383,0.9279424582366782,0.007730185415839919
